track_id,tags,genre,energy,key,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,perceptr_mean,tempo_y,mfcc1_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
TRPSVTL128F936017F,"rock, classic_rock, 80s, 70s, guitar",Rock,0.815,5,0.921,148.152,4,0.38497853,0.08643835,0.001934329,2202.110841545748,329564.2754816125,4.3228915e-06,6.938115e-05,99.38401442307692,2559.1748,11.767704,338.29117,38.421192,116.375496,8.604371,1.6478579,8.483349,4.3813515,1.690188,4.8542647,-4.265387,4.775645,1.9751137,2.9420235,-5.393754,0.20984024,-3.9910893,3.2211778,-5.418637,-5.7600913
TRHHSUX128F932E546,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s",Electronic,0.979,2,0.712,83.369,4,0.376844,0.075854324,0.0012211414,2239.272252925864,247463.80575135144,1.00890375e-07,0.00062725315,83.35433467741936,672.2982,-12.870329,148.69739,15.359486,57.938274,9.453373,11.591379,-4.0804853,6.6933193,-0.58650947,11.350904,-2.4290144,3.6671848,-5.6667995,2.9748032,-3.2699652,3.283598,3.2547936,4.3679605,-1.5008857,5.0456653
TRFOBPI128F42734B9,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,0.584,7,0.244,139.261,4,0.39793107,0.07883511,0.0007378969,3058.456715896038,280460.987476744,3.33485e-06,-1.667234e-05,143.5546875,650.17084,-14.217238,220.94565,44.711506,121.84703,-0.8735043,13.279589,5.922801,8.55181,7.0804696,7.7186065,-1.0119455,8.130267,-1.3509127,1.5531532,1.5206974,6.655034,0.9232932,3.5777621,0.937319,-0.032553423
TRQUFVD128F4236831,"rock, classic_rock, singer_songwriter, 70s",Jazz,0.272,0,0.382,104.792,4,0.36392945,0.094543815,0.0033690021,1927.883327812611,768707.6626072475,3.2751886e-06,-8.096089e-05,107.666015625,3792.8027,28.639929,305.41577,48.332424,304.1025,10.09848,16.219555,-0.28139833,4.752867,-2.7400775,4.2491446,-2.2183003,4.8248014,-5.291617,-1.8856165,-3.709122,0.600865,-7.3151774,1.3815023,-4.519748,-2.6596594
TRFNFGI128F930A920,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge",Country,0.826,8,0.415,82.539,4,0.45943296,0.0714142,0.0010187863,2795.020015587146,119605.8078879944,-4.172565e-06,-6.98273e-05,161.4990234375,608.6894,-12.61602,142.2715,72.130005,122.434044,17.43823,13.457527,-1.486072,16.302994,-7.7057643,5.430371,2.3959823,5.6412783,-7.824485,-1.77623,1.5290545,3.3330083,-1.4743923,0.35469216,3.6754637,5.514037
TRRLZAX12903CC4850,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Electronic,0.31,2,0.122,72.786,4,0.36534053,0.07534814,0.0023475352,1711.6936775240931,162218.56127537476,1.0526921e-05,0.0002963746,151.99908088235293,4869.266,-9.530155,399.93362,19.920351,224.25488,11.83043,7.4221745,-2.1289837,1.1639029,-3.1902752,0.7159758,-2.3179817,-1.5711563,-7.792615,-1.7144855,-3.470383,2.1952343,-7.970061,1.397613,0.5930873,4.028118
TROJJKH128F425C8D8,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rap,0.29,0,0.183,112.434,4,0.40551496,0.08499173,0.0029058265,2124.547987566434,343703.22927665914,4.3066116e-06,3.0776e-05,112.34714673913044,4015.4248,3.3668392,371.9793,43.26981,129.20941,1.1457367,9.227862,5.470535,1.2912126,-1.4238744,5.235494,-1.4405648,3.389876,-2.247454,-1.3203921,-10.643829,-1.6595579,-4.7447,0.8139608,-1.8141632,3.3583307
TROLARL128F428EE18,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",Reggae,0.295,4,0.0398,114.759,5,0.35649642,0.080439165,0.0007772133,1897.2884618075543,171628.68424295384,-8.930976e-06,-0.00013929667,117.45383522727272,658.0892,-9.842123,235.30927,34.329605,82.403564,-0.83233225,-0.6731075,3.2621818,12.498479,-0.011311581,1.189466,0.41069537,1.9895495,-3.182932,0.5934582,-3.5629096,-1.0193362,-5.8598714,0.7948221,-3.306059,2.6132672
TRUWCUD12903CD4501,"rock, alternative, alternative_rock, hard_rock, grunge",Blues,0.854,9,0.368,89.4,4,0.4548571,0.07392304,0.0012251729,2969.591506276429,191960.5634125521,7.0415363e-06,0.00033974674,89.10290948275862,501.3839,2.4654062,103.42328,33.564476,72.54557,9.223503,12.362184,2.5102074,10.442988,8.202343,11.126157,-2.62998,5.461825,-6.1445065,4.825305,-0.15631402,4.6576304,-2.2486877,2.988769,-0.27480942,2.4065459
TRXFYTA128F429364C,"rock, classic_rock, british, 70s, blues_rock",Pop,0.309,7,0.178,140.749,4,0.32680988,0.08082666,0.0033349018,2263.0459394462696,254088.7943078277,-5.1740363e-07,-2.6977814e-05,143.5546875,2154.377,-2.200334,231.41794,29.575966,203.97961,4.1659856,11.927215,-0.019851921,3.9985049,-13.188788,1.2777865,-12.453063,1.1156491,-6.475195,-2.8440595,-11.737099,-5.944115,-9.832666,1.1103828,-5.7647004,-2.384817
TRYAEUK128F425DEF7,"rock, electronic, alternative, indie, pop, indie_rock, psychedelic",Rock,0.763,11,0.283,139.995,4,0.43051523,0.08272859,0.0077815047,2324.980470986322,411505.6453712668,-0.000606704,0.0005563034,69.83741554054055,2598.6133,-19.101746,394.57367,21.426447,223.61707,0.65480226,5.284076,3.946981,7.287718,-2.6506963,5.614374,-1.466314,6.3125563,-2.9040797,4.673352,-2.7651582,4.355801,-1.3659449,3.5378087,-4.062737,3.14602
