length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.32111612,0.09500762,0.18560658,0.004235441,2309.576774764402,93030.02210363702,2429.7925157120408,51723.40227956883,4856.648324819712,473617.6760841756,0.10282827524038461,0.0007104569073964859,-1.8879053e-05,0.020074897,0.00023512058,0.0077609103,151.99908088235293,-48.233242,1598.2416,88.864075,210.24976,-8.76474,319.45673,20.49268,197.84537,-7.689677,63.945568,3.0185866,57.301758,-4.5670786,37.895546,-0.6168341,67.64323,0.31258884,63.063206,4.8954434,61.623116,-1.3310308,51.933743,6.8058705,45.65308,2.9785922,53.386105,7.2796736,46.48795,4.692838,69.5055,6.6193113,51.344734,-0.17490508,55.6541,2.5103357,56.786434,-0.21401696,58.3173,6.0806003,91.186195,Blues-TRCRAIR128F935713E-9,Blues,TRCRAIR128F935713E,Blues
3.0,0.42722893,0.08443713,0.15830803,0.0019433489,2470.299939546688,1150638.101858422,2433.54371489578,147715.927306997,5104.44580078125,2473977.7835410377,0.11764573317307692,0.008591115488808535,-1.8585346e-05,0.00947425,-0.00020698897,0.00983701,184.5703125,-65.88033,3250.524,90.60201,1405.3644,4.5535417,573.1624,35.615242,198.71428,-3.8385272,77.93956,11.253326,128.12971,-9.958426,66.634056,6.418317,57.104733,-7.394321,49.541416,1.6196995,45.166744,-3.546191,52.81081,0.52738285,38.446186,-6.53282,56.01941,-0.98309964,28.121136,-3.6998863,39.053356,0.8002359,41.39135,-5.3701715,28.830446,-3.6355593,31.478884,-3.9416237,30.230938,1.6907256,40.74665,Blues-TRACOHF128F1498509-3,Blues,TRACOHF128F1498509,Blues
3.0,0.29674357,0.079635784,0.19238499,0.0013549259,1455.8879984045861,86219.76110570059,2057.6151964334135,44640.975001436615,2814.8865685096152,674979.1758891394,0.0576171875,0.00013834146352914665,-0.005213044,0.026028076,-0.0064704795,0.0044369134,103.359375,-79.34776,1862.4249,134.68869,207.17148,5.568073,86.03329,14.158638,45.97627,0.4234776,53.21703,1.8951093,21.896725,2.785734,22.130507,-4.5605907,17.431276,-0.31004605,20.453009,1.027442,27.392025,4.3264866,36.73298,12.982277,30.69718,-2.1214585,29.233444,-2.318196,27.620077,-8.534601,30.72646,-1.1720997,51.115437,-5.4857345,34.861324,-0.70301324,21.41585,-2.6394222,18.214354,3.585274,27.473557,Blues-TRIUACN128F9333554-4,Blues,TRIUACN128F9333554,Blues
3.0,0.4343009,0.07197519,0.32986364,0.0011051634,3050.3143223115558,87162.3679451428,2837.614892988094,22244.26751185392,6540.047889122596,361592.8142346222,0.15502178485576923,0.0008926326847640721,3.0180872e-05,0.050670173,0.00066737237,0.019652301,129.19921875,53.42091,321.0362,62.96678,120.6585,1.3366123,74.13041,30.104584,56.24254,5.521399,33.643593,12.13356,31.925947,3.5208867,23.518091,10.218656,35.138233,10.043192,72.65517,10.658282,36.987507,-4.899044,24.753145,3.4782507,22.841919,-9.647861,36.61219,3.2724364,20.67348,0.77389604,37.515053,4.68947,26.771856,-0.1037119,45.055164,4.6110077,43.10473,-1.767525,43.30031,0.050156698,35.812057,Blues-TRUWCUD12903CD4501-1,Blues,TRUWCUD12903CD4501,Blues
3.0,0.3429368,0.08149365,0.36617863,0.0012964346,1649.3094484878525,57535.475159341986,2179.4969619104477,57149.24417593532,3387.1728515625,598505.2289375892,0.06316105769230769,0.00018959361420580622,-0.00011744579,0.09481206,0.00036347174,0.011765117,151.99908088235293,-4.905954,248.05646,126.03089,163.43317,-3.743152,92.34489,17.599867,54.196445,5.1020517,37.97861,10.483369,21.775148,-0.5911521,29.008116,8.608171,39.091,3.9616926,28.696852,12.99495,55.24021,-1.8652695,33.420567,3.0471787,29.030203,-15.861531,45.972153,6.394276,35.63068,-2.4425077,21.781029,8.061506,59.06283,-10.66675,21.608093,2.774094,26.795692,-7.6283345,17.076103,1.6929272,20.737106,Blues-TRURGHT12903CB7583-5,Blues,TRURGHT12903CB7583,Blues
3.0,0.36214802,0.078664005,0.14174047,0.00080383336,1650.127814946417,98840.55806591143,2329.7892564643325,55892.46221939361,3449.3706805889424,935381.5741838434,0.061767578125,0.00023955656931950496,-0.00519283,0.012815013,-0.006087593,0.002935444,103.359375,-101.40614,1331.2101,121.899155,187.82677,10.126267,94.54754,12.552213,54.213017,7.949273,46.86094,9.709916,44.107235,13.753176,29.991798,1.0545559,32.7892,-1.4728796,43.03687,-5.6699486,24.828144,-3.0481932,40.793766,4.402641,40.34046,-3.187313,61.39377,0.15126531,67.49006,-3.38275,25.00395,6.225907,18.562891,-1.6586553,30.493095,0.3806919,27.285923,-2.4077384,42.2302,1.2878634,37.477306,Blues-TRIUACN128F9333554-10,Blues,TRIUACN128F9333554,Blues
3.0,0.35436997,0.08009048,0.20907263,0.0017875137,1798.9073308292975,157729.904383655,2131.576332096191,106920.14437336466,3615.756084735577,1294413.2213238426,0.07698692908653847,0.00028667225640201005,-5.965997e-05,0.03186451,-0.0003294208,0.004662065,123.046875,-46.075916,765.5358,118.179504,309.72867,-14.620652,128.84148,22.872822,31.911373,12.282013,61.063618,4.8585835,69.80921,2.172242,20.375498,18.827896,23.676077,1.9680098,28.835709,3.5865643,46.75528,-5.190157,19.931448,3.5132399,21.51937,3.1724625,31.087265,-1.8538208,28.524729,-9.443444,21.857811,-1.9651911,16.016327,-1.4696566,29.750473,1.1799383,16.507431,-2.0534244,33.440224,4.2577796,36.090286,Blues-TRAUJPR128F92CA3AF-7,Blues,TRAUJPR128F92CA3AF,Blues
3.0,0.46560028,0.08640839,0.16185945,0.003630606,2555.891523180784,1002618.0551816775,2804.1139163706252,350583.3035761676,5845.850548377404,4885574.184953284,0.10204702524038461,0.004903134918777195,5.8999845e-05,0.012757032,0.00038212046,0.0101396395,151.99908088235293,-103.93014,4615.1665,83.31931,1128.6614,18.663916,499.1459,18.202663,265.1797,14.07573,302.79794,11.920493,145.4324,2.5876033,185.14207,9.792151,128.10477,-5.901662,140.01338,1.715321,47.526146,4.2475896,73.4727,4.277435,95.26654,-1.985991,68.28704,-2.555053,32.35736,-2.2220483,49.586002,2.7381873,49.873737,-1.074977,34.400837,0.18656664,45.719322,-4.7661743,42.046658,0.58190334,35.511627,Blues-TRADWSG128F4259317-10,Blues,TRADWSG128F4259317,Blues
3.0,0.3406521,0.08273031,0.16159433,0.0010852123,2368.0168553278286,256848.8160478644,2643.4500366861384,93514.4262843273,5507.779259314904,1287866.1927535336,0.08209134615384615,0.0006420539539946607,5.8319223e-05,0.017198533,0.0003692503,0.0037551064,143.5546875,-73.7724,1761.6935,83.964516,301.05447,5.0279627,275.61118,31.420816,170.04674,7.983417,92.44437,13.657583,75.014336,-0.021944193,51.396774,12.413421,33.713993,2.3141892,28.126442,13.744558,43.540432,-6.204777,30.49499,-4.6569915,41.71081,-3.7810214,32.515003,0.78634554,26.442188,-2.0743582,29.207748,-0.1856572,50.114708,-0.9661781,49.723156,0.63493717,20.612844,-12.361299,31.130589,-3.6373267,45.174534,Blues-TRXJGBY128F930137D-10,Blues,TRXJGBY128F930137D,Blues
3.0,0.41000015,0.0738141,0.24450223,0.00057375664,2394.7954192133043,132876.44005468872,2395.4151320760047,35750.818736686546,4869.73388671875,660162.1197429987,0.12156700721153846,0.0010427912875745425,-7.9094534e-05,0.033993028,0.00040398477,0.009728258,117.45383522727273,13.926033,614.62354,89.266846,265.11826,-21.33129,163.68788,20.068308,71.807,-1.9783992,72.2904,3.5765448,34.130596,-0.04406257,63.585083,6.700525,35.791275,1.1832428,47.087357,7.7044315,53.928738,1.4715177,32.703922,0.055563238,36.02649,-4.98911,56.05529,-1.5833235,30.35348,-5.3385983,27.112888,-4.0216556,44.732143,-7.2907715,53.26533,0.759071,62.052765,2.1117296,47.5713,5.753592,35.969074,Blues-TRUJRZQ128F427EDFB-6,Blues,TRUJRZQ128F427EDFB,Blues
