length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.41480532,0.07168969,0.20925775,0.0005123359,2373.2331011269266,121569.74312350598,2288.1752735040195,59878.80506295261,4789.315655048077,459058.3458051174,0.125146484375,0.0006384836710416355,-2.004981e-05,0.024675246,-9.10266e-05,0.007165474,123.046875,0.52435446,441.1273,92.30035,287.7373,-25.057068,135.14323,32.828613,67.613716,0.2807828,51.804333,13.611305,49.436928,-5.687761,32.347347,2.7136133,27.943375,-1.2527071,34.2627,4.3428025,27.90071,-5.949348,54.124535,6.3244243,25.283504,-6.1675262,23.713589,2.9005523,40.79662,-0.05988155,29.990536,4.1097584,28.59694,-2.158972,36.6246,2.2448754,39.39946,-0.36676413,21.50911,5.3890543,31.61765,Country-TRWSITX128F147B0D0-8,Country,TRWSITX128F147B0D0,Country
3.0,0.3888276,0.06910203,0.44171777,0.0034221187,3815.20138866054,238945.9269182005,3269.78734748593,7346.930589055657,8034.617826021635,200571.96997964877,0.1692420372596154,0.0024012583811607586,-0.0032634859,0.11757852,-0.0077371877,0.03748162,172.265625,71.09908,470.15085,45.3618,173.14136,19.52562,28.14772,15.150336,33.553314,9.266983,17.661102,12.983107,25.473486,2.661837,25.113667,11.63984,24.058834,4.379959,37.49505,9.994556,25.259138,3.8760278,39.45662,6.279793,25.32248,-1.5059913,19.376507,2.1326263,22.590096,-0.6590656,31.048939,2.3824463,21.315752,-1.2773222,26.772179,5.5034075,36.070118,1.5217767,31.072512,8.831021,39.371113,Country-TRXLJIJ128F149C309-3,Country,TRXLJIJ128F149C309,Country
3.0,0.42362842,0.078714,0.22419627,0.0020925212,2936.151590719367,231861.47937546074,2733.3269138555033,60071.103935223975,6183.1764573317305,804348.0406582003,0.13939678485576923,0.0013918848573808839,7.499451e-05,0.035982534,-8.0764956e-05,0.005491814,151.99908088235293,-11.810237,836.4076,62.799465,288.2782,-2.4246194,134.19876,35.950848,93.27344,2.5498123,92.18542,17.908052,30.907621,3.156868,41.024075,12.067545,50.121758,3.556366,47.396286,10.261133,52.17325,0.7925382,56.340614,7.4289355,64.62032,-5.350491,37.416092,4.08095,44.812416,-2.564659,91.87515,-1.2914318,53.894142,-8.669559,35.36238,2.0010583,36.633125,-3.5530467,79.91198,8.482577,68.83076,Country-TRUWKDV128F92DE274-1,Country,TRUWKDV128F92DE274,Country
3.0,0.41562077,0.08214223,0.21526194,0.0075535323,2991.530356634546,705843.5553696847,2709.430971335727,87083.27260984188,6138.1223707932695,1641824.7818694313,0.16138070913461539,0.00604470416638978,4.3061045e-05,0.021086877,-0.00012647397,0.016909732,135.99917763157896,-15.510947,2888.077,65.16684,542.14795,-1.9527785,292.85825,27.127317,225.25255,10.657924,104.56247,14.190352,232.7181,-3.3113234,78.89748,6.6412654,61.667793,-7.1497736,61.72795,-0.4098585,61.822495,-6.022386,57.716377,1.9126599,36.6359,-2.980043,31.91819,-3.0832825,42.73098,-8.552149,72.64535,-0.4402683,38.631435,-5.008295,25.484476,-1.3318454,37.96948,-2.4866602,38.542217,-1.183463,34.83887,Country-TRBHUSP128F4242DD0-7,Country,TRBHUSP128F4242DD0,Country
3.0,0.44417372,0.06573892,0.13599017,0.0013326624,2226.829003485181,73737.78869488918,2389.1975598440963,21652.642403817455,4698.4621018629805,362631.61944880994,0.10766977163461539,0.0005062809216200247,-1.318831e-05,0.008769272,0.00015550527,0.0056665847,123.046875,-55.299736,917.2261,95.101944,80.764145,-14.829303,70.56976,25.975973,70.56542,5.1484327,72.889404,8.64692,59.953495,-0.49680874,54.24463,7.1208143,47.768696,-3.3612092,27.839792,2.6298337,28.509932,0.22906624,33.744984,1.252489,29.149744,-4.414163,49.350693,4.59723,20.900507,-2.968315,16.392504,-1.8878767,23.929447,-9.456333,32.85964,1.0967605,31.167717,-5.1020575,15.00601,-1.4951288,20.097713,Country-TRNEIYO128F92E743E-7,Country,TRNEIYO128F92E743E,Country
3.0,0.28127566,0.084500834,0.13734043,0.0022208763,1828.450132082737,227725.88121894593,2529.226122515336,90922.9118285057,4211.397611177885,1538858.1467450722,0.065185546875,0.0018156170845031738,-0.00011790367,0.016196562,-5.2949094e-05,0.0013089834,135.99917763157896,-125.631584,1328.2698,108.06325,437.0486,19.17033,146.29309,26.741474,187.08647,13.677779,56.9092,9.179709,113.066536,9.177447,37.71848,1.6513081,71.27055,-4.503819,100.18913,3.0881822,77.501114,-4.1696796,83.58352,-3.7354798,80.10011,-0.9927793,32.730507,-4.3620462,27.158764,-3.12139,40.073795,1.1346657,28.252016,-6.0213547,46.93626,6.765624,21.67373,-11.937934,35.275013,-4.534681,63.336285,Country-TRUCEMO128F92E7467-1,Country,TRUCEMO128F92E7467,Country
3.0,0.4091817,0.07656639,0.13103163,0.0011864302,2556.6328247761094,157686.99783116905,2628.288250364836,47872.5922353815,5551.3425856370195,729415.8464165481,0.11983548677884616,0.0007397023178416596,1.1741425e-05,0.007301655,2.6288786e-05,0.0057033375,123.046875,-52.727577,1088.7844,84.09611,180.583,-2.211574,185.52232,26.118486,62.827644,4.2436028,60.691315,7.7375712,32.32857,-4.526584,29.414146,5.480899,35.79465,-2.7584455,30.690517,5.241516,24.035425,2.1315002,23.54877,1.2918314,14.733888,-3.3611872,26.50135,4.1279645,50.369225,-3.2246933,23.0429,-1.9250718,21.599697,-5.2886934,19.266691,2.789564,17.412056,-4.9220667,16.019278,-0.12063141,23.263025,Country-TRNEIYO128F92E743E-10,Country,TRNEIYO128F92E743E,Country
3.0,0.4043243,0.07903073,0.014145333,3.8976883e-05,776.6860545275355,16320.390137628996,1320.1464218324616,27079.95123759839,1319.4056114783655,142379.91928239545,0.03240685096153846,6.94096582175712e-05,-3.2692472e-07,0.00017410169,-1.071176e-05,1.2224259e-05,123.046875,-429.48627,2196.822,177.26268,178.79698,3.6698897,100.40461,41.378017,109.088,-4.076112,42.88994,14.143607,64.127846,8.346034,44.69296,9.825729,17.12792,7.363595,106.344185,-0.44930723,44.040962,7.581473,23.789732,2.448408,21.536081,-0.06870352,25.738577,12.04615,55.71625,-0.32778567,19.818169,0.7965325,29.829147,-3.8083327,37.42228,6.5346036,44.984188,2.0995712,38.916504,-1.3014848,44.93819,Country-TRABTWX128F42B8619-9,Country,TRABTWX128F42B8619,Country
3.0,0.28401214,0.09005221,0.15750483,0.0021695648,2276.285316671054,779528.2751762465,2348.045920772537,187231.77656832183,4473.191669170673,2762186.885074363,0.10833834134615385,0.0057917668833535095,8.260393e-06,0.01971513,0.00047152658,0.0037013802,151.99908088235293,-85.39997,1061.6702,97.16409,850.7924,-5.016009,494.6956,39.749416,167.87639,13.440414,232.20746,-1.6368797,77.479355,-6.578746,163.35077,5.7898593,60.71221,-5.531082,36.68173,0.8596005,64.23083,-4.898787,41.67151,-2.2769108,37.97523,-3.0305235,41.92511,0.83817774,47.10547,-12.245891,34.80835,4.869641,71.08986,-0.411397,79.6954,-3.1760893,31.939468,0.035280168,46.608788,7.0345035,71.07586,Country-TRXDAGS128F149D988-5,Country,TRXDAGS128F149D988,Country
3.0,0.44357923,0.07901625,0.10834474,0.00071477663,2084.292024194359,367560.1039720159,2017.8484644094212,235343.63454398388,3948.6097130408652,2031414.9906938951,0.11429912860576923,0.002105529618686472,4.104372e-05,0.005188203,0.00028701092,0.0031521206,172.265625,-84.10073,1299.8933,114.81831,554.9154,-40.474926,580.71436,22.609297,238.57668,4.5117984,75.96278,0.1515561,69.44306,-8.422981,58.07004,-2.4894185,79.382614,-4.7680855,43.598507,5.7309995,58.139534,-13.453565,62.37427,3.204464,70.02896,-8.539763,27.13058,-2.1477733,32.232193,-4.10062,24.976877,-0.30637962,50.23343,-11.662851,46.191925,-2.8282967,39.905025,-0.7489702,31.762897,3.3906944,32.161743,Country-TRMIHEH128F428E2BD-2,Country,TRMIHEH128F428E2BD,Country
3.0,0.3779009,0.08584317,0.14654984,0.0002918211,2514.511865028998,308421.6489174687,2473.566826096362,96553.85915769891,5432.413048377404,950518.4384034583,0.120556640625,0.00198381442290086,2.2016966e-05,0.018365629,-0.000106708794,0.0008283728,107.666015625,-63.515903,1109.8524,88.997116,554.28186,0.3459273,86.886284,33.579025,107.072174,-13.924807,23.239784,19.194735,20.464502,0.49176297,37.240253,16.765617,35.594433,3.6254892,27.836143,7.046486,57.457504,-5.001496,24.611547,7.166712,68.42045,3.3830478,87.84028,5.202013,23.19417,-6.7408614,31.374643,-1.0499152,27.951126,-3.9168646,33.834938,3.4635398,38.73749,-0.23668166,73.03911,4.0243006,52.599308,Country-TRRPBMJ128F426AFD9-10,Country,TRRPBMJ128F426AFD9,Country
