length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.44982222,0.05781885,0.29312992,0.00025863774,2278.3399811680633,55364.05515935187,2425.699323733227,14261.691087204545,4860.872145432692,224322.85522695124,0.09783653846153846,0.0003693915824212971,0.00021747155,0.051050533,0.0007205848,0.008458297,151.99908088235293,12.245089,278.2177,89.09817,66.75011,-4.620158,38.49203,46.63672,29.592094,-0.55114317,33.763855,13.810814,25.904411,4.4940944,51.436897,12.1163,28.122116,3.4723995,29.128572,7.5834417,29.991083,-1.9291596,32.175297,8.882504,24.400393,-0.69382906,17.751577,1.0315822,25.076262,-0.23028255,22.551025,3.2142794,28.47204,-2.003792,21.104637,5.7053103,17.004154,-5.3158026,27.884678,1.8054909,20.907137,Folk-TRAUKAH128F1485EAC-10,Folk,TRAUKAH128F1485EAC,Folk
3.0,0.3906843,0.08535019,0.14678007,0.0019081555,2216.816697945557,138511.59725711402,2056.6597166287434,62599.81429245227,4309.208045372596,738939.6451051772,0.13180588942307692,0.0012068299287875024,2.8638324e-05,0.014941778,0.00012432534,0.0032401208,143.5546875,-87.777596,1893.5491,94.240746,356.42416,-27.480766,351.97925,59.70379,159.17618,-5.752207,90.801155,3.1634932,170.19496,-6.432811,198.49739,15.316676,36.624294,-10.4647045,78.92735,6.607478,35.162315,-13.07832,27.372116,-0.7851112,59.365517,-5.0847545,79.9895,-7.61005,67.38027,-10.375946,65.45782,-7.174417,48.21093,-11.844229,44.977665,-1.9188371,108.64163,-4.4092894,45.919132,-0.63594526,43.83708,Folk-TRRKQNA128F423EE8F-6,Folk,TRRKQNA128F423EE8F,Folk
3.0,0.24873915,0.085426934,0.15922435,0.0024522778,1770.1148964262338,419532.5655778787,2152.809793942056,147170.14760059284,3718.5357196514424,1825520.1042731486,0.06567758413461539,0.0009043335773535735,-3.722844e-05,0.024456441,-0.00010531731,0.0006919979,123.046875,-114.69676,825.5302,119.16442,501.52386,-0.08544593,185.13098,13.339979,82.026535,-11.974478,89.00215,3.567356,56.746758,3.4284236,215.91496,-10.771898,57.846447,-13.618344,68.21155,7.083975,81.55152,-12.786957,51.110165,4.5090322,43.200314,-9.351401,27.749695,-4.281278,25.617153,-8.982471,34.399242,-7.148696,109.273735,-5.22649,67.20334,-4.412333,35.58264,3.3799257,71.69135,10.777434,90.26268,Folk-TRROABB128F428F0E8-4,Folk,TRROABB128F428F0E8,Folk
3.0,0.35218662,0.077406,0.12691076,0.0018228358,2840.1685520954825,721218.576413784,2334.8992547890207,104457.21184089968,5298.078988882212,1517699.3633786954,0.16686072716346154,0.006770261575484416,1.8299188e-05,0.009004909,3.6446057e-05,0.003790829,123.046875,-79.05472,1487.0488,70.97773,927.95105,-8.999157,702.668,45.11305,255.31978,-7.7220583,81.490685,18.607925,81.8701,-6.037373,121.964905,-2.9563215,77.913994,-7.3866677,73.632645,9.433354,87.57793,-6.0683236,43.833176,5.4752603,73.6777,-7.461792,41.92455,-0.9327261,44.720562,-7.5273247,21.969152,-6.646593,52.508274,-3.6671185,25.81015,-5.0591116,39.87805,-4.593025,39.91848,-0.52131057,38.75079,Folk-TRCPZXZ128F92D1DA4-6,Folk,TRCPZXZ128F92D1DA4,Folk
3.0,0.3364689,0.08957565,0.14161825,0.0016352555,2026.0050345744544,500916.6015547856,2559.025554652518,227808.5254315116,4896.5675706129805,2657039.6973325307,0.06009615384615385,0.0008919114897237022,-3.0621668e-06,0.016086388,-1.3934364e-05,0.0018228058,123.046875,-137.24817,911.89185,91.88455,766.89014,18.15351,256.07364,39.039062,117.993,15.877772,106.928635,13.124222,52.028103,0.6417299,44.591393,6.0813637,50.68711,-4.365083,48.606827,0.8952837,47.031647,-1.4753633,67.06542,9.037516,54.009026,-2.884084,36.34125,-5.2647963,34.560406,-6.798647,76.616585,0.7301962,82.84227,-7.334082,81.70625,3.2375603,48.829666,-7.292122,75.0864,5.9639263,80.75266,Folk-TRLCROX128F4295398-6,Folk,TRLCROX128F4295398,Folk
3.0,0.23693895,0.083905555,0.13653843,0.004745459,1571.580097417148,850116.2450876288,1889.9442585197366,226526.2870726411,3074.278846153846,2695527.640408313,0.06213191105769231,0.0030586465011686963,-1.5190068e-05,0.021089025,8.363673e-05,0.00057394616,117.45383522727273,-173.34085,921.0384,126.2775,1240.5757,-7.153607,320.44592,26.918974,193.21196,4.543443,74.9331,5.091225,132.0884,-10.173416,122.48553,-0.8449291,132.68506,-18.351908,71.612885,2.5616922,114.78577,-16.633162,55.579323,-0.28609177,35.205795,-6.2493687,45.591595,-4.091773,50.42155,1.4533333,45.177982,1.0286636,55.85925,6.635856,181.1229,4.64156,74.073105,6.537684,33.837486,6.681259,90.549355,Folk-TRFPEMC128F42928FE-8,Folk,TRFPEMC128F42928FE,Folk
3.0,0.3849539,0.08764651,0.16576089,0.0028617312,2415.810066025136,660126.3215619839,2522.6129591898894,198249.58096729786,5243.831881009615,3121878.0261907354,0.11427283653846154,0.0027185731244510447,9.697873e-06,0.010860991,1.3959887e-05,0.009603244,161.4990234375,-58.707813,1611.5275,97.63099,876.94476,3.2941623,364.14658,14.558288,272.70908,-4.8637424,247.80615,4.523824,112.701996,-5.96295,226.28944,-0.18511717,119.52849,-22.864386,71.92368,5.2497325,91.19213,-4.2890987,63.103554,-4.7292914,54.262604,-7.3410997,34.566383,-4.360608,42.84429,-1.1589341,60.95438,-4.3233037,38.219402,-6.7539167,39.57237,4.068425,47.49807,-1.9714121,52.86609,-1.3752443,65.961266,Folk-TRDCTLN12903CF9CB6-10,Folk,TRDCTLN12903CF9CB6,Folk
3.0,0.46194372,0.0676867,0.10652968,0.0003725707,2781.4415370840184,66398.3919708137,2754.7458468532996,11538.04337969023,6052.320838341346,166032.25219940997,0.12567232572115383,0.0005936999151692589,-6.1131e-05,0.005236282,-0.0007258599,0.0023782789,135.99917763157896,-67.39595,509.2259,74.113495,71.92375,4.9878125,35.093384,28.254452,36.170155,-4.3139353,23.110254,15.263994,21.12395,-2.6311936,26.606283,7.8329053,29.491009,4.31562,36.009426,4.263464,19.215715,-1.4658309,27.643442,0.88684523,36.319633,-6.8166456,32.54948,-4.166776,18.352594,-3.872197,21.935856,0.26130828,15.108021,-4.6962175,11.5537,-1.9815993,14.9858265,-9.252753,26.10848,-3.0466962,17.644135,Folk-TRBYGLT128F146A2B4-5,Folk,TRBYGLT128F146A2B4,Folk
3.0,0.5284773,0.070750184,0.09807483,0.00024856537,2660.806554511494,148760.58702274808,2605.8462857550276,98705.03612016555,5479.951735276442,1253922.1582363697,0.12876352163461538,0.0009513724626168698,3.6097295e-05,0.0036451558,3.621395e-05,0.0026187918,135.99917763157896,-83.741806,486.43018,72.034874,242.21912,-13.312048,270.8422,38.095314,113.467384,21.398945,137.79134,3.063164,52.12054,5.8246384,84.73304,9.353134,81.28574,4.564592,51.885002,9.283572,42.132828,-3.836963,48.839302,8.983285,48.176968,-0.8004206,30.202911,-1.1139514,31.143717,-1.888189,38.45751,-2.8223102,36.438385,3.1286347,38.090263,-3.8065152,36.209606,2.5284307,24.309826,9.910726,34.595524,Folk-TRAIPIA128F4273A3D-1,Folk,TRAIPIA128F4273A3D,Folk
3.0,0.38716203,0.087075,0.2481182,0.00398686,1528.1608356776396,103436.65798276057,2053.5402880493284,88557.39322015876,3281.577336237981,848228.5548879197,0.05601712740384615,0.0003176799751597749,9.804338e-07,0.036925383,-0.0008173284,0.011189002,172.265625,-66.86528,1710.7244,123.27876,263.94543,-0.81282914,178.63083,26.48623,118.27512,1.348772,52.80607,15.725131,44.411835,6.5551214,50.909584,8.242924,52.3606,-3.6894798,54.790413,5.620813,38.693333,1.3858896,48.561974,4.640879,55.333122,-1.8593992,62.26513,1.8155749,60.614822,-6.9756384,50.796227,-2.8699043,51.136536,-3.7496953,62.932835,5.667079,105.16498,6.664236,87.413864,2.4226983,53.701057,Folk-TRTQIRO12903CC3C85-9,Folk,TRTQIRO12903CC3C85,Folk
