length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.30075467,0.07981609,0.17941746,0.00048749676,3064.9503990140906,90078.77164972511,2714.785588124099,31835.212244258597,6261.192908653846,424548.18412114884,0.1449519230769231,0.0008444777042908076,-4.0561063e-05,0.01424009,-1.6941356e-05,0.007819854,135.99917763157896,-23.322365,453.15588,57.243717,200.61072,-12.29798,167.46364,15.442805,75.68511,4.8155074,55.287373,6.316756,29.215883,-3.861551,51.852554,-0.3266456,113.39145,0.95376354,161.58948,5.2593937,156.14525,-1.1447065,109.86295,-3.2827835,106.35385,-5.713377,137.52097,-0.48983017,153.05856,-2.403116,114.21658,1.3595697,119.754745,-0.51803964,79.89947,1.8603506,90.934784,-0.7431199,113.4395,-0.5889884,129.5392,Jazz-TRUGBKO12903CCF906-8,Jazz,TRUGBKO12903CCF906,Jazz
3.0,0.33762005,0.07669854,0.20746782,0.0010406617,2835.7214958487875,181821.0446063397,2958.122444534667,38099.032736791785,6580.960975060096,801477.4365315423,0.12191256009615385,0.0009073118627424072,6.207317e-05,0.028531156,0.00030747356,0.0058351792,99.38401442307692,-16.40153,489.92548,75.41271,176.15414,12.075137,98.49152,18.258406,59.10168,4.7104774,45.79765,5.884347,78.44561,3.9886878,45.4108,4.458982,31.076103,1.7718809,42.408348,-0.50787836,35.974903,-8.216895,47.402702,-4.386931,39.30466,-11.243993,36.404667,-4.35311,46.35737,-3.9333894,39.743816,1.5729548,52.240883,-3.1086006,34.401005,-2.6513748,27.61738,-3.4191327,34.2087,-3.397322,35.593204,Jazz-TRFNFNG128E0794B47-1,Jazz,TRFNFNG128E0794B47,Jazz
3.0,0.29103655,0.08717731,0.10146107,0.0010206919,2346.649537616343,469084.7772940531,2628.768245982005,153326.19742470482,5212.11181640625,2361690.8196839,0.08725210336538461,0.0022053676244069838,-1.8532763e-05,0.0075600403,7.87855e-05,0.0014505038,117.45383522727273,-140.33801,957.06537,92.26652,627.3297,10.973699,174.53438,26.822683,208.56032,-1.9040189,173.13591,-11.017606,188.2846,2.194549,115.72694,-0.9816236,68.941864,-16.281197,77.24727,4.010146,71.628075,-9.305813,67.24455,6.292289,67.68658,-7.74732,62.65094,-7.2629704,52.270245,-8.733276,56.16467,-8.219164,52.308464,-1.3594475,50.975002,4.9394794,61.430954,-7.630219,34.3476,-5.9097095,54.228287,Jazz-TRDOCSC128F42708E5-7,Jazz,TRDOCSC128F42708E5,Jazz
3.0,0.35284385,0.09415129,0.12269007,0.0010392722,3220.519319148628,258047.31372993317,3005.5684988184994,86668.35689740937,7009.968637319712,1048101.4878661323,0.1342097355769231,0.001703441157143497,-6.4751985e-05,0.010964393,-5.140328e-05,0.002228341,117.45383522727273,-84.89208,1269.806,55.812584,168.99808,9.125483,425.02344,15.459122,118.26537,-1.4172451,33.045223,12.282851,55.14089,2.6339247,33.36568,2.135732,27.204515,4.4399357,37.71571,4.7173615,29.145405,-3.560509,25.16967,3.5022404,25.869268,-3.4503708,38.067142,4.6024313,49.485905,8.4745655,83.68803,17.56519,95.95088,-1.1484758,111.92265,1.076251,87.8798,-11.40267,53.32844,-2.6411529,83.195915,Jazz-TREKOJF128EF340745-10,Jazz,TREKOJF128EF340745,Jazz
3.0,0.42793813,0.083172604,0.16418569,0.00041352917,2072.288932714641,88633.10606839026,2222.679537855745,37487.429380264664,4425.652982271635,257656.18493292457,0.10152493990384616,0.000986948803331725,-5.6348006e-05,0.013828769,-0.00021502099,0.0046921447,117.45383522727273,-59.324654,543.8609,101.5694,279.12778,-7.8058977,129.16122,53.35535,105.39534,-2.7482686,77.78279,9.007032,41.210712,-5.0312877,44.439873,6.3508415,45.381496,3.7828526,54.483273,5.044337,38.768967,-5.051997,47.746006,-0.7428589,50.172417,-4.040999,56.20105,7.008099,83.957794,1.0482323,60.19516,-0.0033137982,49.071716,-6.561497,39.102592,1.006093,44.723484,-5.93848,36.43508,2.5464046,91.10106,Jazz-TRGGAUY128F42772FF-4,Jazz,TRGGAUY128F42772FF,Jazz
3.0,0.4335661,0.075268984,0.28016597,0.0026197173,2274.0888916512613,176807.87292852424,2337.5264763115224,105665.0677985747,4385.485276442308,1618487.4144628907,0.12235952524038461,0.0011362468138248964,-0.0025340004,0.035051733,-0.0064762286,0.016365465,112.34714673913044,21.93614,223.089,95.95272,189.21304,-29.75076,89.125755,25.292807,119.62808,21.965525,93.34486,1.938066,25.797441,6.134169,27.512812,1.9360466,29.224508,4.299399,20.967173,3.4901419,33.179882,-1.4681096,14.755904,6.0392756,24.79315,-3.0843887,19.3094,-1.7898213,24.610123,3.0615225,21.225546,-0.122306295,20.469854,1.0860709,37.97321,-0.6368833,34.95852,1.1321536,32.14511,6.3267365,28.072468,Jazz-TRDETUH128F9319F7D-8,Jazz,TRDETUH128F9319F7D,Jazz
3.0,0.29940116,0.091532916,0.06304668,0.00031775344,2156.9991516688956,149300.25852479183,2462.1411125841155,104070.71439162952,4712.375863882212,1112481.5109787963,0.07786583533653846,0.0006888103061879175,-1.1983956e-05,0.0028075245,2.36641e-05,0.0004812928,123.046875,-188.11028,1444.1016,88.795685,174.94728,-1.1014198,381.59042,33.86542,64.302536,4.934776,62.07686,10.720483,37.21995,7.253815,34.271965,9.138174,21.608513,0.046861973,38.89383,12.484231,50.99015,-5.279235,50.86414,2.1251462,30.194746,-9.542052,41.046387,-2.9642422,60.825737,-5.9036555,96.85406,7.304797,73.62384,-0.8471391,91.75808,8.676431,89.18464,-2.8196084,85.266846,2.6526308,166.67464,Jazz-TROIHZU12903CDCA9A-2,Jazz,TROIHZU12903CDCA9A,Jazz
3.0,0.42475688,0.077881224,0.26573974,0.0012364383,2604.884546389391,226244.31763448843,2425.6128399299128,76393.80790673569,5229.918118990385,1060963.2734616129,0.14110952524038461,0.0011982789265333547,2.7140783e-05,0.035150528,-0.00019317071,0.0134896645,151.99908088235293,27.19486,498.0744,79.50667,399.6853,-17.094553,150.17374,34.097218,51.8924,2.9630568,36.123875,5.403778,32.664608,-6.898763,26.49454,7.5707483,20.367886,0.64827,39.570282,3.8782651,20.663773,-5.817079,18.980267,0.4430286,18.06359,-1.8272663,23.514446,5.438903,50.69646,0.8796261,30.561026,0.38281855,18.938234,-5.034108,28.747316,-2.7720609,23.24238,-7.980369,24.576849,-0.12026672,21.482767,Jazz-TRADAUR128F9351B94-5,Jazz,TRADAUR128F9351B94,Jazz
3.0,0.44685167,0.06969269,0.10420645,0.00019642731,3039.922975395763,485904.8975655518,2710.3507681977057,127299.03362661581,6164.127854567308,1935855.9610863405,0.1546912560096154,0.003127358862634241,-9.338829e-06,0.0058571175,-7.22857e-05,0.0018708867,117.45383522727273,-81.58538,496.13724,55.50575,297.7727,-13.226754,257.8961,42.592205,138.61514,23.942814,79.34367,6.9330297,50.090668,11.812592,56.31058,10.531699,34.1859,3.4080281,54.68182,14.513686,40.51337,-1.9117084,69.08104,16.281145,72.568596,-3.0409913,29.714092,-2.5095632,28.677727,-6.191276,66.98171,-2.629407,27.136208,6.12002,36.65431,-2.1794283,43.754154,1.1762286,35.217785,4.691362,56.950436,Jazz-TRILLQF128F930835F-5,Jazz,TRILLQF128F930835F,Jazz
3.0,0.39413044,0.07808153,0.2044533,0.004866585,2594.925349593134,480968.06473998737,2470.398678393046,209234.02378825747,5396.883263221154,1982609.6584847693,0.11935471754807692,0.0016804145073749611,0.00017892127,0.015971035,0.0014703242,0.017090106,103.359375,-36.291805,3462.8103,83.27686,975.02515,-12.653521,378.92114,32.24966,149.4744,-4.9965796,107.9381,15.420941,36.355743,7.420693,47.51133,3.0906956,50.192955,4.8016257,55.728027,6.098941,60.81476,1.5877308,31.944523,5.790321,33.92826,-3.6497908,53.12832,5.960205,46.07307,-6.0144796,38.442356,-2.6959457,46.317215,-4.667516,23.25106,1.9788917,38.729763,-1.5087984,16.548254,-1.7625629,36.217445,Jazz-TRAAJAC12903CEB847-1,Jazz,TRAAJAC12903CEB847,Jazz
