length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.43655688,0.07952076,0.23591734,0.002466718,2005.0464766360233,75403.1437773197,1909.5438658744695,91781.1945549749,3962.2750150240386,316013.1502791975,0.1110088641826923,0.000929006105343971,-9.603018e-05,0.026387563,1.0850572e-05,0.014498563,143.5546875,-21.85451,1045.47,120.492935,484.32205,-49.12832,438.30475,48.019768,330.09866,-7.1980085,120.02219,11.30438,84.495346,2.6875503,170.81754,-2.2074473,97.716484,10.295965,67.01861,-2.8054736,105.81597,8.179213,118.16704,3.5437546,91.92217,0.24718502,50.491737,-5.509026,47.85924,-6.064703,55.12549,-0.9676307,50.887356,-6.6695733,40.80213,-2.0310981,34.12869,-3.9012885,50.71416,1.201291,46.056553,Pop-TRDGZKY128F4218F49-9,Pop,TRDGZKY128F4218F49,Pop
3.0,0.41096184,0.07002827,0.14882578,0.00068991195,3127.92721027315,257431.26980191717,2881.102500628961,67083.6390450426,6700.470252403846,905209.0800042689,0.15443209134615385,0.0015596500374156343,1.1178879e-05,0.010434917,-0.00017287243,0.004583382,161.4990234375,-33.58938,728.3328,63.14417,271.01404,10.494038,372.3368,29.40164,73.36092,3.7773085,32.15398,10.411157,75.60015,-3.2866232,43.31062,1.2716168,27.490913,-11.437175,32.058422,3.873157,27.77773,-7.639913,20.682663,-0.4135147,38.722557,-6.84563,36.246613,-0.0767252,26.058058,-6.0915246,32.379765,-0.2456851,36.290874,-5.302767,25.989588,2.7547705,31.917736,-0.42322728,27.995531,1.3590615,46.020245,Pop-TRYHBAB128F92F7246-2,Pop,TRYHBAB128F92F7246,Pop
3.0,0.4577649,0.09273688,0.27395138,0.015966207,2211.671337949408,980578.3442202583,2579.8127528480486,163830.61770918558,4816.9775390625,3400402.303526952,0.07432016225961538,0.004764042253324972,9.5983676e-05,0.05728482,-0.00052198325,0.012663845,151.99908088235293,-80.71549,3458.0188,84.432655,1232.5302,7.3604302,1090.8575,22.201126,334.84793,18.761057,179.17523,5.369655,260.7244,1.8039258,193.56161,12.210027,123.35132,1.6361185,113.809166,12.412238,71.6253,4.2116017,114.06579,3.2651982,65.62066,8.006068,53.34626,2.6060543,47.489582,1.8952382,102.48071,7.729612,88.34462,-5.9598966,95.8156,6.5768514,95.8398,0.44493198,75.06072,0.10233236,51.770252,Pop-TRIMHHO128F4232AB3-6,Pop,TRIMHHO128F4232AB3,Pop
3.0,0.35724807,0.07535055,0.20372045,0.0016168468,2388.8650740566864,131988.3360533048,2765.5573243352287,55688.825100073336,5722.117450420673,853085.5769853267,0.09312650240384615,0.0005925325811261962,-7.626167e-05,0.022004092,2.723404e-05,0.008849826,143.5546875,-34.38347,661.56146,90.79802,121.08331,15.03491,168.46143,23.485834,135.82729,4.2537127,57.07144,4.5688944,71.08386,-2.744535,44.009068,3.1923761,57.332813,-0.38271335,57.727165,6.5528536,43.797386,-5.315575,40.033287,0.55195564,46.291046,-1.7198306,32.751293,0.80741715,46.856903,-5.1188726,28.901371,-0.13384834,26.942999,0.93588305,61.898056,7.8979325,62.592327,1.8845044,53.642292,3.5314286,61.56313,Pop-TRUGEBD128F932FA09-8,Pop,TRUGEBD128F932FA09,Pop
3.0,0.348607,0.07502202,0.18617548,0.00030534164,1476.7406628726792,39656.47598271503,1596.122065647738,15513.6516615103,2881.3082181490386,234969.9364752459,0.0874774639423077,0.000495655578974436,3.7591846e-05,0.029541016,-1.7867917e-05,0.0012665094,117.45383522727273,-86.86539,161.3417,143.27939,242.81317,-34.435127,107.24836,27.644024,53.71404,-24.891014,64.227394,-0.09088135,89.90557,-12.292583,24.955872,-4.321776,28.618404,-9.483179,37.69638,-8.003248,26.407839,-22.44677,38.48079,-3.9292874,32.667744,-3.1744354,31.770891,-6.7676964,22.186207,-10.317036,59.26207,-1.1192726,40.576897,-9.010339,32.78853,-5.6364603,15.695213,-0.3168653,43.382744,9.148023,53.71551,Pop-TRRYILO128F42ADE9E-4,Pop,TRRYILO128F42ADE9E,Pop
3.0,0.34892574,0.08501355,0.24132967,0.002348836,2166.4212418861825,94308.93118051803,2307.6663888170933,54793.406630402176,4457.2902268629805,685751.5670290007,0.10821439302884615,0.0004740541362198147,1.9525865e-05,0.031387355,0.00019188253,0.011054992,135.99917763157896,-6.3522186,521.05505,100.22889,150.12837,-13.2654915,138.68457,28.233212,110.75985,-1.5988278,161.55531,5.687871,55.58503,-6.3438907,39.23442,0.9221426,44.34893,-6.1738453,43.624123,7.6504593,62.793945,-2.130346,50.875862,0.10282417,34.329178,-10.677088,37.664497,-6.593701,57.4765,-5.1445208,33.05918,3.0994837,25.816833,-6.540507,28.20061,6.122297,36.06568,4.4549155,44.78825,8.53493,52.289284,Pop-TRHNAVE128F14A3B95-4,Pop,TRHNAVE128F14A3B95,Pop
3.0,0.4788534,0.07985772,0.31642625,0.00225932,2801.963668922357,211446.9864150198,2712.637415024604,59947.54777501265,6049.75341796875,942574.9888864848,0.13306415264423077,0.0013887303961804631,9.11333e-05,0.0427104,0.00050804595,0.022280639,117.45383522727273,49.616764,402.8102,75.59409,158.40363,-5.45546,80.08473,21.747465,75.8181,1.3676958,69.02419,12.586953,30.498661,2.527007,44.501324,7.510774,33.16833,2.6902876,43.677834,8.283748,22.368107,0.87992185,35.811546,8.687284,18.877243,-1.1927241,23.580292,1.8058217,26.166569,-2.3212936,25.454874,3.8197083,33.73677,-5.6907516,18.557234,2.399544,21.18185,-2.3436735,33.90849,0.88867414,38.973267,Pop-TRYNOSN128F42A2B82-6,Pop,TRYNOSN128F42A2B82,Pop
3.0,0.38443792,0.0939443,0.2638697,0.0024516825,3298.3728904253953,721206.1377405728,3035.5979714695077,48839.08802140554,7183.228102463942,1196570.4362618502,0.14778771033653845,0.0066195795663009736,0.00019007597,0.04467573,0.00014973296,0.0111881,107.666015625,-7.6900034,910.6804,59.82486,583.51605,15.594235,226.40276,18.692505,56.107788,11.373123,112.02274,13.446639,109.82422,-2.3414848,50.225075,10.252949,58.493366,-5.9077687,64.18453,6.3056726,56.979786,-1.2528259,62.034172,10.601287,31.637264,-0.45127952,54.336388,14.077817,41.731693,4.600109,90.69657,7.8762965,72.82983,7.178645,56.39037,6.5157347,30.881937,0.12332185,45.5441,-4.3664813,51.37181,Pop-TROOOIK128F146A4A0-5,Pop,TROOOIK128F146A4A0,Pop
3.0,0.20991147,0.08413714,0.09626243,0.00041866594,1312.8415058646276,310552.7950282765,1935.5842344263228,284776.4730945737,2659.433405949519,3073874.131298946,0.04391526442307692,0.00020083557219194943,-9.71228e-06,0.007740251,-6.932471e-05,0.00072783773,161.4990234375,-229.39714,3812.4312,132.89378,695.5239,18.986862,129.74231,24.995916,83.10474,4.515998,166.5219,19.163166,128.30348,-9.288638,139.71562,-2.7496479,84.914764,-12.439992,51.22129,-2.5064964,45.934826,-7.0032234,185.55742,-6.288857,179.84343,-11.690937,64.37186,-2.7633955,70.86633,-8.917531,106.81878,-2.9218004,44.61123,-4.9319572,78.66586,-0.19621171,72.25687,1.1961188,33.76036,1.2401018,59.61384,Pop-TRROCHQ128F4268672-9,Pop,TRROCHQ128F4268672,Pop
3.0,0.34265566,0.07659541,0.11860339,0.0011117203,2532.9623058597244,360053.42429838347,2630.4128948692082,82960.84932554251,5343.878455528846,1212701.2674033996,0.12456430288461538,0.0023850046530277773,8.179417e-06,0.00598968,3.2105312e-05,0.004884643,123.046875,-83.34674,1088.1746,89.76333,259.0992,2.5555053,389.15396,13.277721,105.35221,-6.186855,137.91101,0.8355046,163.48425,7.596905,127.794876,3.1744428,64.70092,-3.7778382,63.87111,1.982036,175.7561,-6.8092127,39.053524,-1.6859918,44.31367,-9.917677,72.68098,7.252627,40.29339,-6.420877,44.904564,-3.2079175,29.271667,7.433627,57.795532,2.2400491,46.53373,-5.153574,65.84701,-5.544807,85.31208,Pop-TRQMRSO128F92FBA46-3,Pop,TRQMRSO128F92FBA46,Pop
