length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.18147577,0.091965996,0.18592098,0.0013464901,2505.581126912633,38204.96240642914,2108.997899224455,13370.092843020593,4574.480543870192,143763.65079343674,0.1193096454326923,0.0006040819297880815,1.3628219e-05,0.03158851,2.3268307e-05,0.0010791038,129.19921875,-84.966484,1658.0043,71.608185,105.92715,-46.039295,45.322807,13.59111,63.097687,-27.477169,54.452267,15.467196,32.810184,-0.31196055,92.734764,3.1269274,22.161627,14.697455,26.214924,19.324121,28.708971,-1.4638968,47.414566,-1.5261269,22.779022,-21.80121,74.55176,-23.08936,51.702953,0.44440365,47.25431,11.385467,21.736332,1.9543887,19.949858,19.301336,29.645092,17.890709,108.89901,-12.946219,28.74446,Punk-TRZNEUA128F4293F7D-8,Punk,TRZNEUA128F4293F7D,Punk
3.0,0.42780653,0.08658005,0.23749281,0.00047945272,2465.352515272648,250447.09051157167,2491.555727475784,74496.57508847576,5242.920860877404,877534.3194595103,0.10494290865384616,0.0008637120737831973,1.4100857e-05,0.026455075,-0.00014787985,0.012642909,103.359375,-10.27538,844.41095,79.44432,347.99765,-5.766714,174.8444,39.178284,143.45,0.17649475,134.18236,18.685686,57.006332,7.084354,61.78226,10.528906,52.84903,-4.649366,73.88846,2.7206643,83.713196,2.144414,39.090015,1.5408804,68.10035,-2.2052996,42.83907,-2.9335072,31.356941,-5.6321335,40.07831,-1.3688139,30.279226,-13.901044,34.561844,-5.8659134,48.28973,-6.9814167,67.185814,-1.8926829,117.08421,Punk-TRHWDCX128F42AC2F5-6,Punk,TRHWDCX128F42AC2F5,Punk
3.0,0.39448357,0.100189485,0.25704363,0.00790003,3719.0278968371454,1755320.0917519245,3573.8965934410244,118365.13388944541,8716.640625,1318058.0983400345,0.1832782451923077,0.025762286045142177,-0.0013327171,0.03369129,0.001756037,0.022891989,107.666015625,-54.211296,2067.6787,67.772705,822.82184,34.17969,350.76334,-4.595238,479.02338,11.312513,185.46565,-12.537334,245.15504,7.2729235,222.35648,-12.587235,162.23676,11.102595,213.69019,9.81124,104.010155,-2.6938462,121.91053,2.2528453,118.80612,-0.45713577,72.88428,5.7421007,90.44961,-3.399266,80.15735,7.309639,82.13977,5.133633,90.19562,7.0138617,61.28441,4.585254,102.99274,9.933056,64.6023,Punk-TRXCXJF12903CCA32B-4,Punk,TRXCXJF12903CCA32B,Punk
3.0,0.41020474,0.07069668,0.27773714,0.0013446313,1977.72361856206,50938.94153454913,2016.0781780914126,65243.125554871214,4056.0272686298076,181812.0661150069,0.10282076322115384,0.000426192890257525,-0.00012514034,0.041845758,-0.0003096309,0.01218793,161.4990234375,2.4232163,412.37537,115.5786,288.9752,-25.17551,238.50468,50.92972,94.54839,-13.783774,63.543343,-3.1977112,33.498474,-0.33553484,42.26793,3.6109664,48.353443,5.5051937,38.09999,8.528264,30.4887,-2.7580779,17.699884,1.4751167,28.544996,-9.843903,30.303902,1.1877441,34.729267,-8.402458,27.164999,0.8784992,22.097288,-3.8297057,15.48298,2.376029,20.11755,-7.8470902,15.916053,0.5155212,21.041214,Punk-TRUDNWA128EF367153-10,Punk,TRUDNWA128EF367153,Punk
3.0,0.55556935,0.062468164,0.24547087,0.0036032451,2951.041560030013,102222.91418585788,2457.4933119960424,42572.063606329684,5571.7991286057695,354780.7342203411,0.17981896033653846,0.0013516565046366856,-1.860665e-05,0.024224252,3.8297065e-05,0.01688581,117.45383522727273,26.838364,603.5522,61.59142,168.50444,-25.805582,115.08843,37.658367,103.53885,-0.49952534,38.98822,10.660464,41.923405,4.2081146,36.505726,8.289462,19.515764,4.9406137,33.28194,1.2499452,31.908117,-1.7517647,29.75639,4.8538065,31.931547,2.3993359,27.345745,-1.4177716,23.465704,-2.6384249,35.9018,4.8651075,37.1418,-6.146767,34.01258,-0.36275706,45.191444,-1.6196296,39.26715,-1.3171248,29.584837,Punk-TRGPENP128F9344A4C-1,Punk,TRGPENP128F9344A4C,Punk
3.0,0.5251881,0.07516748,0.16702697,0.0051672035,529.431311676589,82927.5287392022,1079.1016451415198,236142.89115184915,848.3253831129807,528489.89605625,0.012871844951923077,1.0494099566217004e-05,-9.023701e-05,0.020897347,-0.00022750415,0.0032282562,198.76802884615384,-255.29436,5752.5986,165.4199,345.90863,32.156227,319.95013,26.13027,90.83541,32.62894,260.61633,32.090183,52.60262,10.127887,38.183796,9.714745,47.85205,3.9605281,24.172468,6.7499447,42.35922,7.9297485,13.430609,9.752794,19.246483,7.3295784,30.244576,3.6426444,51.13673,-4.5549326,24.862452,-4.217872,23.025793,-3.198183,28.996143,-7.4143047,55.134556,-9.485596,27.518097,-0.8689699,22.509047,Punk-TRHXTGC128F428B6D7-9,Punk,TRHXTGC128F428B6D7,Punk
3.0,0.38586724,0.083990104,0.26978025,0.007069412,2841.7191973984627,839161.7309085256,2452.051285907082,127550.43899460691,5555.4835862379805,1812901.317940273,0.15934870793269232,0.009363074344996166,-1.9983316e-05,0.032506313,8.809587e-06,0.024362842,89.10290948275862,7.0841055,1457.325,71.20093,1397.88,-13.904485,377.89694,35.025272,237.42615,-6.2076564,91.52161,14.297054,53.44659,-3.6868157,102.89255,3.568667,81.39566,-5.4077306,67.572205,8.668594,65.67641,1.4074008,56.24148,6.62471,46.261673,0.069809005,40.10735,2.1405766,30.926973,-2.8223412,39.70095,0.17637183,27.790613,-8.474642,28.566372,2.6882265,37.29505,-1.5243218,35.946526,2.3662646,76.91322,Punk-TREVGQV128F92F39D6-1,Punk,TREVGQV128F92F39D6,Punk
3.0,0.49407035,0.0770357,0.15478542,0.0013466076,1838.855284749595,104396.15990690036,2218.768835873919,136988.45782632753,3535.337853064904,855157.5354704843,0.08451021634615384,0.0005617677812745585,9.544565e-07,0.008272759,-0.00014917504,0.0073848804,151.99908088235293,-73.520355,515.0246,131.25471,277.95157,-24.672386,314.4866,14.643916,235.02599,28.961332,164.61868,-17.377558,144.28653,16.75341,135.94681,-3.6183913,118.07186,4.797958,170.60873,12.972795,77.64026,-16.378363,81.928604,6.8569036,67.80562,-2.6545372,62.2467,-0.4971566,59.36217,1.7903936,59.554752,-6.0031466,65.39105,-6.8824925,53.143414,-3.7417994,68.79369,-1.8608515,46.27447,6.0515447,26.622984,Punk-TRXSDHD128F1467ED2-1,Punk,TRXSDHD128F1467ED2,Punk
3.0,0.24008273,0.07924484,0.19590756,0.0028379506,2740.8588446851973,157181.36323034685,2646.3916338725903,46112.71237864202,5970.743126502404,568973.1740034897,0.11643254206730769,0.0005921661360023994,7.852982e-06,0.033285204,0.00031265596,0.0033905727,123.046875,-55.565136,1581.9243,58.35753,329.11932,-9.795346,149.68323,15.4237995,103.247314,-8.318745,94.78187,9.178291,133.8604,-0.7178469,79.10021,7.8728943,67.78993,-20.2603,69.72258,-12.954218,49.356194,-1.777695,100.19525,10.584821,75.41081,-6.3153863,48.52697,-3.707161,22.676804,-2.5660436,29.500566,1.2103702,32.565647,-15.981168,16.636932,-8.57092,23.94236,-19.995039,79.69522,-14.32092,77.712906,Punk-TRFTFQV128F4233F76-2,Punk,TRFTFQV128F4233F76,Punk
3.0,0.5753394,0.051301423,0.40380654,0.0009105996,3030.443231710393,39882.98602702012,2599.9442873850016,12488.884813067772,5900.0148362379805,169484.41659025187,0.17118389423076924,0.0004207786582630767,-0.00011033782,0.067112975,-0.0006070491,0.029496731,123.046875,84.891335,51.428123,57.17513,67.36945,-14.7301235,51.10962,40.40785,38.205994,7.0592146,36.648136,12.913654,29.990366,1.6072679,29.806704,7.446039,37.285847,5.209383,27.966614,10.379256,19.84964,5.115341,19.990557,5.5170875,25.51668,-1.9199252,17.954279,4.0093317,26.155603,-1.3318632,24.056183,6.38935,22.434048,-3.772384,19.924248,2.0205257,21.507763,-1.8521445,29.04777,-1.4673673,26.447159,Punk-TRCVRAY128F42701D9-1,Punk,TRCVRAY128F42701D9,Punk
