length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.30880973,0.09014192,0.19652161,0.005955764,2122.7064465043554,1368843.693533317,2207.062706099818,271230.569388252,4146.715181790865,3937000.8998477603,0.10350060096153846,0.008798331255038108,0.0001261315,0.029986212,0.00020587965,0.00802588,151.99908088235293,-89.72695,2388.5063,111.52877,1107.9055,-7.8539424,727.8854,20.397835,249.95009,-5.3190207,170.38527,-0.15394922,118.935745,4.2236075,223.71703,12.303089,74.346725,0.011575787,128.75818,-12.988068,171.44336,-0.5494901,289.96045,-0.8099017,54.39032,9.593198,75.194664,11.848642,86.51933,-5.4076104,69.414276,12.383256,74.23017,-11.179156,68.969574,2.543544,51.649315,-3.8843412,76.849266,-4.483223,50.43422,Rap-TRZZUTD12903CADD68-3,Rap,TRZZUTD12903CADD68,Rap
3.0,0.47707292,0.08336002,0.27258787,0.011431183,3042.9542059283904,745004.4046237704,2870.7299082103327,88750.74412042527,6546.921950120192,1331470.9278218138,0.14796799879807693,0.009128227247994326,0.00010512317,0.034682453,0.00014993934,0.019139735,161.4990234375,-34.630688,3928.4734,61.94656,605.93115,18.730543,870.6296,20.304842,230.13756,2.9941823,155.23546,33.17328,151.29755,-8.6419525,109.68287,16.070637,95.57483,7.7439575,84.0622,22.489641,69.3076,4.498083,109.97946,6.1262193,50.28562,-5.6496086,41.97519,-0.29414064,43.09279,-7.633786,72.155525,1.7803166,61.8718,-4.8204937,36.397717,10.992533,38.051403,3.8101428,20.90299,2.1722093,50.54574,Rap-TRSXBLY128F425BDD5-6,Rap,TRSXBLY128F425BDD5,Rap
3.0,0.45388654,0.088957354,0.22352827,0.018607091,2588.8951314371016,1670368.85585173,2650.588089469566,383250.06814320857,5478.046875,5791481.355395684,0.10436448317307692,0.011406779486752122,-0.0012622398,0.040096164,-0.0018592399,0.018136742,89.10290948275862,-98.80691,6375.399,82.15543,1649.3647,12.308502,1056.2643,20.945984,487.58755,15.42028,200.4702,4.801348,107.41397,-3.548056,124.81702,9.62073,93.193146,-0.14265487,77.82826,5.679945,84.70338,1.779415,218.65302,10.4286175,179.70871,1.9485213,94.32076,4.2566013,56.797127,1.0661342,83.36397,0.22014442,87.2454,-6.4054723,54.474533,4.4682407,71.147026,-1.7165974,50.6033,1.5616596,78.05857,Rap-TRUDMKS128F4261A65-4,Rap,TRUDMKS128F4261A65,Rap
3.0,0.4524836,0.074243136,0.23645069,0.0005685913,3047.1512210473034,170985.00670092704,2750.1474174687414,36998.55999529747,6280.904071514423,628927.087675044,0.15425931490384615,0.001502853596704246,-8.4047395e-05,0.032803778,-0.0005516134,0.008060177,129.19921875,24.457907,398.93436,62.535683,113.87667,-8.441285,89.576355,24.16459,50.29796,2.2640457,47.38781,9.331012,26.090971,4.326385,35.751125,14.468151,22.763153,3.5536838,40.48887,8.073137,21.931295,2.0201614,23.639862,4.255708,19.647429,-4.84674,16.735138,1.285685,21.041445,-5.554137,21.230762,3.7272315,33.662292,0.3613725,48.24904,8.174968,53.896133,2.7080204,39.45316,1.6524513,44.888035,Rap-TRDQQZA128F42947C0-4,Rap,TRDQQZA128F42947C0,Rap
3.0,0.41842675,0.08744874,0.07117204,0.0024133257,2480.694136197234,578403.7029363326,2819.581708479209,107256.515521973,5812.308443509615,2104266.3369862987,0.09858774038461539,0.002266236254449427,1.0693471e-05,0.0027069135,-5.4895903e-05,0.0029594274,112.34714673913044,-184.20824,3995.2737,77.686195,619.1253,26.25139,158.36461,31.12113,152.83815,3.9971426,180.93877,15.057189,143.28743,8.706426,36.9785,3.0222688,49.14005,-0.058504663,43.327183,3.1595361,57.07729,-7.7761927,26.603374,2.3533354,26.326366,-0.30787143,53.67639,6.905907,77.61488,-6.572006,32.45942,-5.3370934,36.170914,-8.399531,36.91309,2.3464394,31.605783,-4.9396296,22.329071,0.6810412,25.147758,Rap-TROJJKH128F425C8D8-10,Rap,TROJJKH128F425C8D8,Rap
3.0,0.4390524,0.10015615,0.23988351,0.01117347,2940.4432330426735,1365021.320132125,2764.9687960687647,248275.12142024774,6116.257887620192,4013096.8456599847,0.13104341947115383,0.013293190242270747,-1.9173496e-05,0.041660596,-0.0010023837,0.015456087,184.5703125,-61.57086,4687.7866,63.46404,1069.8466,-4.830887,775.6492,7.0042057,457.13702,6.6523604,324.83685,0.8905871,447.5511,-1.5915251,183.26292,8.46782,144.74352,-3.9900212,335.78796,9.823062,293.35385,-3.8550763,134.12065,-1.1247244,177.25229,2.7391837,83.99253,2.8091953,127.51589,0.7523077,131.32472,9.211284,110.11802,-1.5465827,64.1649,5.956803,93.76552,4.2938275,67.184166,-1.868015,45.62598,Rap-TRJSNHV128F4255FB6-9,Rap,TRJSNHV128F4255FB6,Rap
3.0,0.50694305,0.083600946,0.10558878,0.0066909557,2547.6631566238284,1837398.2554742363,2558.339012757783,265226.41163690016,5261.5553635817305,4747446.831646755,0.1039287860576923,0.009271190575594028,2.0185687e-05,0.0060676713,1.8217346e-05,0.0061960435,184.5703125,-174.38837,2337.11,74.80275,1666.0635,12.443996,546.691,35.648273,294.06924,9.962593,224.67915,18.251303,102.33486,1.9968431,172.26566,14.727866,101.335464,-3.708967,148.78873,8.445301,78.49713,0.999258,82.07396,7.969085,83.14824,1.284688,62.44071,8.139765,54.55482,-2.830379,56.62641,4.0101814,44.029118,-1.4152735,32.06684,-0.013503368,29.079643,-2.1975749,33.826668,-2.9515176,39.493435,Rap-TRLOUND128F4291D95-4,Rap,TRLOUND128F4291D95,Rap
3.0,0.48859385,0.08817047,0.11894801,0.003027186,1824.3717213566356,369060.7411759029,2062.5257868097224,89332.87090509063,3835.3119365985576,1561877.6677962942,0.05241887019230769,0.0017384157237216565,-2.4157926e-05,0.009262511,0.00078201696,0.0035539346,117.45383522727273,-144.1333,2941.15,104.93116,522.6157,-20.47987,416.19498,38.16413,190.32596,3.9121976,105.880226,18.403524,112.93507,-1.1247305,177.36949,10.841072,93.82007,5.5388937,53.724415,12.513262,61.852066,-2.1427894,35.74927,-0.30136392,47.885178,-3.4426162,23.27498,8.733815,41.352238,1.0738634,49.45469,3.249986,26.518341,-0.60957086,24.422586,3.470599,27.333143,-0.75947714,33.59977,0.0752817,33.80841,Rap-TRJAMOR128F9319A5C-9,Rap,TRJAMOR128F9319A5C,Rap
3.0,0.31005245,0.09058664,0.10721614,0.0016858409,2090.3646683607512,905503.5875022394,2343.565085413618,171396.82807053786,4200.879469651442,3114515.526473205,0.08138146033653847,0.004723319231405766,-3.1606298e-05,0.010745854,-5.412331e-05,0.0009131348,135.99917763157896,-171.35637,2096.504,96.60724,1372.7488,-6.282115,586.5895,27.177288,271.81772,20.375544,179.45325,6.9767766,145.06822,-4.048776,128.68349,-4.658184,109.39926,-2.8117464,71.204445,8.229993,108.624916,-15.84837,83.98648,-9.073886,73.66904,3.4127386,96.203186,-12.340504,161.19492,-0.71299005,88.83568,-4.1133566,39.27762,-16.44589,58.11759,-4.81613,145.89091,0.16294336,108.15506,-5.4075255,131.72409,Rap-TRCQPNW128F424E45D-3,Rap,TRCQPNW128F424E45D,Rap
3.0,0.5002855,0.08868079,0.20300123,0.010261791,2599.814657534339,1281560.5049432488,2557.3750955724768,252926.98134439252,5379.905160757212,4104784.733149039,0.12301307091346154,0.00887252436587091,-0.0002498671,0.017710764,-0.0035524946,0.016166393,117.45383522727273,-88.81929,3549.9197,72.54809,1560.0208,19.498276,803.48584,44.66542,604.16113,0.20350559,180.64587,8.357026,258.798,4.8278236,184.90102,2.3052218,157.64102,-12.012577,126.05442,7.0347104,49.698204,-0.7240828,76.49752,5.733164,61.6218,-0.15581845,55.305183,4.438084,38.16337,1.6103288,39.594467,2.9847705,44.724144,-6.693039,56.335705,-0.44620985,51.432594,-4.8709726,73.63753,0.85271335,56.99118,Rap-TRJTEQH128F1455563-2,Rap,TRJTEQH128F1455563,Rap
