length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.35173395,0.07658336,0.23614033,0.0050677177,3110.7663115525233,225790.94531348813,2783.979662223643,36076.72673127685,6345.7521409254805,514336.63457628543,0.1498760516826923,0.002709411883495263,6.84409e-05,0.028855294,-1.8151544e-05,0.013795043,112.34714673913044,10.057075,676.59784,63.658566,206.80186,0.32219836,73.36314,23.015066,94.9511,-9.992848,63.57932,12.137915,88.41639,-0.02126195,36.934,6.7626195,40.2022,3.90886,58.051964,2.6001663,56.69095,-4.4123335,50.686523,-5.681534,41.673927,-0.67883563,34.66571,0.5994102,24.25968,-1.984887,23.484402,5.5432024,23.583828,1.5084043,22.988537,3.501216,23.062,-7.3368554,23.258715,-3.377074,24.66979,Reggae-TRKEXLH128F424D13D-2,Reggae,TRKEXLH128F424D13D,Reggae
3.0,0.4394407,0.0978751,0.14090997,0.0029151107,2458.401230789019,2156126.1590029215,2628.5237622483937,695666.376072496,5221.387657752404,10241474.927685848,0.07672025240384615,0.004927187755968443,-5.2104388e-05,0.014490895,-0.00040116222,0.004991107,143.5546875,-197.23279,12992.095,62.407135,1334.711,22.24905,1141.7142,47.750126,471.21063,27.528023,339.4299,14.381355,320.13254,10.209897,204.19467,8.3519745,118.44669,1.8896236,184.14896,6.433438,126.10119,2.563032,130.80415,1.0794249,120.16578,-5.184856,81.246605,4.789218,57.596554,-3.4793818,86.90473,-1.0912329,58.15271,-3.5174408,68.355286,0.20948052,53.96353,-0.5509356,51.671677,3.2894778,50.18572,Reggae-TRIPUDU128F9336C0F-7,Reggae,TRIPUDU128F9336C0F,Reggae
3.0,0.38695788,0.0842746,0.2216271,0.00088432984,1832.8249333062042,125229.51985809655,2123.0535566306326,86779.89663810526,3724.9956805889424,571310.2250875453,0.09011042668269231,0.0005445887915481477,7.628025e-06,0.029284952,-9.234014e-05,0.007512719,107.666015625,-36.382866,1069.9897,124.389435,505.70926,-13.475212,124.460236,27.996943,93.08164,2.301568,56.24359,4.4502215,51.481003,3.969212,71.470825,2.7621331,43.87045,-6.633994,58.887566,6.5351067,46.901623,-12.016504,44.933865,6.54799,42.216175,-7.648359,46.655663,-3.468621,62.574257,3.4718094,76.372856,1.5507476,117.694084,-1.7870636,69.43597,5.8682795,62.019222,-4.0086083,60.296986,8.275563,125.90607,Reggae-TRACQIL128F931B8AD-1,Reggae,TRACQIL128F931B8AD,Reggae
3.0,0.4034682,0.078286216,0.22990339,0.005082259,1646.1206677338525,311851.33194886084,2092.7263698339193,447074.2498199842,3567.4720177283652,2881515.5665756324,0.055235877403846154,0.00041538390887559514,-5.4784705e-05,0.030181885,-0.0005613574,0.012585646,172.265625,-101.51262,3371.4478,121.445625,992.65204,-22.484184,630.407,24.922333,143.26538,38.086727,384.8749,8.029875,98.59581,7.401724,69.78449,20.760963,67.64232,12.763961,34.802658,5.728471,65.36511,3.7104397,50.738804,-3.3018353,84.30934,-17.480991,67.20708,-14.418625,62.402428,-9.639633,28.78051,-4.3015594,26.15348,-4.063993,33.204185,4.491934,52.782948,-2.8518503,55.5006,-8.090529,43.06765,Reggae-TRINKEO12903D008C6-2,Reggae,TRINKEO12903D008C6,Reggae
3.0,0.4485509,0.075395994,0.20058817,0.0029220388,2817.1607333806014,580553.1964092889,2630.2263478978566,113749.10547561456,5751.684194711538,2026379.9255259642,0.1364520733173077,0.004027785196812195,-1.41840455e-05,0.022069754,4.32609e-05,0.009741904,143.5546875,-16.548107,1109.5739,71.33617,757.2768,-5.2626414,171.74179,34.01758,54.09048,7.2424054,31.731306,3.8822894,38.588295,-5.8702235,59.321087,8.071535,31.64336,-5.005524,40.211426,3.7377043,49.886307,2.8767319,37.526646,3.4381974,25.399654,-3.787509,22.732388,-1.5190018,22.21317,-3.6214697,30.90808,1.7143495,25.677313,-9.143562,15.970988,-6.01028,43.79738,-6.491486,28.027689,-2.5793195,27.15916,Reggae-TRCDNWU128F428E4AE-5,Reggae,TRCDNWU128F428E4AE,Reggae
3.0,0.43229076,0.10267079,0.08084238,0.0004221025,2151.1781835316133,852615.8455469355,2598.8663086435254,272528.96958786057,4866.255446213942,4778243.344256193,0.07121769831730769,0.003328587867804533,-0.0030470411,0.005225077,-0.00205962,0.0009429713,129.19921875,-204.23782,4401.2637,90.50526,808.4019,16.265783,662.566,13.732937,111.53989,8.1130905,171.52731,24.35787,96.10716,8.569822,191.08865,14.724096,102.30028,3.0818045,59.90317,8.858483,132.6954,-0.37839824,57.968285,3.6525319,73.31543,-0.32522842,62.906933,8.051304,56.4481,5.5499663,61.74606,7.9873676,39.356537,-3.247472,44.471085,-0.25672027,42.9167,-2.1122704,57.73094,-1.4336448,33.55673,Reggae-TRPDAXQ128E078F16C-6,Reggae,TRPDAXQ128E078F16C,Reggae
3.0,0.42495376,0.07813269,0.2720139,0.003053264,3002.2880455647596,526099.6059065197,3015.0308001442804,62972.215367206685,6878.450458233173,1144381.4626142469,0.12782076322115385,0.0029915415888001934,-2.534198e-05,0.036299076,-0.00019324495,0.019251507,161.4990234375,-1.399781,1590.0034,65.746605,509.4399,14.511749,310.7667,25.245272,169.23428,18.893036,203.0701,2.7552242,60.244576,-1.6837034,142.09546,12.900475,66.22009,1.4130245,57.191708,0.6071019,44.653942,-0.6270533,43.58077,3.7718189,46.64246,-3.420574,38.981102,2.3286388,29.606518,-3.835889,32.43732,0.7944087,27.70163,-5.2057924,32.937466,-0.83824354,26.9226,-6.9806385,31.843472,-1.669811,29.116278,Reggae-TRNGVDX128F425F0B4-3,Reggae,TRNGVDX128F425F0B4,Reggae
3.0,0.42237255,0.091142535,0.21410996,0.009034514,2177.567863384733,302957.8254985633,2250.788586648836,201552.59036592804,4635.850172776442,1390174.8977887207,0.08750751201923077,0.0015076636703762077,1.9781082e-05,0.03362165,3.377591e-05,0.01051843,95.703125,-90.931656,5608.788,84.57853,327.56143,-16.058964,861.72144,45.17092,495.72946,-4.2821026,199.38278,11.30709,237.22316,-0.5621745,150.26128,5.843812,100.70628,10.363014,149.55768,7.1604075,106.44435,4.4296284,84.1195,8.398696,65.184746,2.5946445,74.52472,2.6985579,88.792984,1.2761552,56.37066,-0.87810296,55.557835,-2.3804839,52.723637,0.3440162,78.63608,0.71139586,109.67707,5.8264127,89.42849,Reggae-TRMMBOJ128F429DAF3-10,Reggae,TRMMBOJ128F429DAF3,Reggae
3.0,0.415318,0.076958075,0.10644571,0.0007591378,2141.115541224182,237874.99883773344,2325.151622615882,121952.74154339691,4603.798828125,1472591.5543721272,0.09986102764423077,0.0007280358337086333,1.4200396e-05,0.005505989,2.0161688e-05,0.0026998944,103.359375,-99.50417,821.5919,98.632645,286.27612,-12.159447,245.00256,35.06845,152.21082,7.366617,94.49011,13.887153,28.997952,-1.9201134,56.551632,5.469521,45.734413,-4.6967874,37.098022,8.833226,31.57491,-0.15071125,55.545223,6.0163517,41.698215,-1.1105969,58.374084,4.5850353,48.946747,-0.45575914,24.112402,2.0487845,38.820736,-5.6633077,28.973452,3.4563851,39.289707,-3.17863,43.10528,-1.998884,52.80881,Reggae-TRJQEVJ128F9348106-8,Reggae,TRJQEVJ128F9348106,Reggae
3.0,0.33520544,0.09316391,0.30610967,0.0028459907,2370.2097324481347,128342.97116615168,2482.23780427118,53189.73841464833,5116.3718825120195,668137.4780461985,0.10730168269230769,0.0010535682587933964,-8.117181e-05,0.060250197,-0.00018522996,0.013904819,143.5546875,-19.29896,715.5934,75.96217,245.67923,1.9504735,148.4737,39.735367,63.927494,4.45065,88.44714,8.706706,64.5654,2.0904539,45.251007,26.21795,80.48822,16.774294,103.53312,1.4725136,89.007484,-27.78152,123.837036,-9.802518,137.35368,2.9841855,112.1939,2.9383368,55.12024,-9.777641,59.694214,2.02705,52.2225,-3.2309341,19.526817,-1.2404612,107.27108,-7.2848473,74.31186,-0.95403135,173.73291,Reggae-TRORPHO128F93177FF-4,Reggae,TRORPHO128F93177FF,Reggae
