length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.51662695,0.062850855,0.24677816,0.0029788215,2635.8769746902353,383290.7940238417,2418.207342955913,132564.6720699843,5243.4177809495195,1599767.7738345235,0.14384765625,0.0023424060528094955,0.000115532646,0.029378003,0.00027312612,0.013188454,123.046875,16.330065,386.222,80.54502,321.992,-21.261936,274.4109,33.138874,89.176796,-2.4716299,66.04453,12.256691,42.361988,7.528731,61.231083,7.3769565,56.079197,7.8661146,37.814587,3.5850427,42.548317,3.398722,31.35617,6.3868804,29.198557,-0.44176862,20.820862,-3.6467543,25.24333,-5.0965567,26.120749,3.274245,21.026653,-2.694441,27.045353,5.0142326,32.92386,4.0694532,26.378181,1.5876373,17.365204,Rock-TRHKXJQ128E0792182-8,Rock,TRHKXJQ128E0792182,Rock
3.0,0.45146218,0.07737432,0.19882569,0.0013954128,2221.976965441682,382748.7064831575,2572.13431140361,209802.29121955304,5169.790790264423,2310058.912260151,0.0732158954326923,0.0007810824157218256,-9.550294e-05,0.025466112,-0.0001527227,0.005426656,123.046875,-62.325428,1219.8517,90.305244,658.5567,6.639428,308.0368,36.898346,62.26699,13.773519,42.304768,15.854568,21.564177,5.2945547,22.790916,16.863976,23.007744,4.1017113,52.818375,5.037546,24.608253,-6.9240537,22.070591,11.001286,25.814194,2.697861,23.33909,3.3946655,33.277733,-1.0353345,12.735081,7.3481216,24.84745,-2.0863013,25.688913,1.9433146,21.885952,-7.897802,24.704672,-3.5852318,60.198185,Rock-TREOOAM128E0788902-4,Rock,TREOOAM128E0788902,Rock
3.0,0.37385526,0.07750824,0.1946114,0.00090648176,2122.5477112051276,571037.000825595,2218.3629841135753,241251.91603711192,4254.049917367788,2753422.367340185,0.10563025841346153,0.002741231876012136,7.066115e-05,0.022743294,-0.0001828627,0.0055195605,123.046875,-26.793234,657.1813,113.11542,788.0925,-18.730774,378.87296,17.055563,207.33836,-2.586189,78.60141,-0.22047557,27.515875,-11.095584,43.950073,4.262384,38.636593,-1.1000061,35.776577,10.56422,28.865908,1.791973,36.925014,5.782046,18.030424,-3.3829665,30.846493,3.6586416,27.35176,0.3778856,23.71499,0.66321427,21.5944,-4.5947194,37.34278,1.0225582,25.355461,-1.3881056,22.214651,-3.174938,18.266123,Rock-TRBXCOJ128E07820C1-9,Rock,TRBXCOJ128E07820C1,Rock
3.0,0.258971,0.06904267,0.23313603,0.0016998954,2369.4347160135153,50344.40106195806,2514.5562382776916,16896.758676637866,4996.448505108173,175229.9186742165,0.10285081129807692,0.00028912472301686305,0.0009225554,0.025367292,-0.00012486217,0.014163261,112.34714673913044,-22.666193,376.41486,81.50418,71.95255,-1.3391578,39.153038,40.69106,38.93334,-2.6661062,31.728298,6.1133246,24.567123,13.439219,28.164598,14.913235,27.222326,3.3595343,36.09577,-0.47549596,35.127525,-3.2457325,43.052814,11.825894,27.848671,5.911312,33.651592,7.927244,45.105377,-4.2242374,20.129438,-1.0831413,18.377686,-10.0203705,26.613756,3.5794408,18.012045,6.3920584,32.49107,1.3374995,76.25729,Rock-TRUMEAF12903C9F452-9,Rock,TRUMEAF12903C9F452,Rock
3.0,0.3996485,0.09095534,0.10006067,0.001478839,1991.5406571782505,928762.6809343741,2367.976331864549,377865.079038855,4332.977388822115,4772826.498554868,0.07327223557692308,0.0032408448507094526,3.1602947e-05,0.007297538,5.100607e-05,0.0014543171,143.5546875,-153.78993,3629.7317,110.60152,1299.4519,12.5012455,762.34314,27.857988,215.98183,3.9444551,86.36468,12.061002,51.01175,-3.265258,117.58766,9.89542,45.488335,1.6058831,74.352196,8.033,44.07099,-0.18707687,48.72883,3.6890597,55.49155,0.45364395,21.227524,5.125385,44.940342,-2.5162518,45.54701,2.8984709,38.253036,-3.7380419,29.303469,0.87582356,37.615837,-11.018316,38.45998,-4.473031,35.262184,Rock-TROILSM128F930F6DB-7,Rock,TROILSM128F930F6DB,Rock
3.0,0.2914916,0.08752183,0.2533954,0.0016994007,2133.3449077638306,720865.1837225059,2234.5257917839444,185413.92477808183,4232.599534254808,2261320.6968767405,0.11064077524038461,0.004374059149499476,4.753798e-05,0.052435864,0.00028245032,0.004464958,112.34714673913044,-51.48798,505.34586,105.21918,763.6966,-6.06028,349.45697,22.39439,267.66132,-10.635659,103.94179,4.888501,241.7749,-7.6214356,113.784706,-10.094778,89.38123,-13.735718,168.23843,9.7831545,52.951492,-20.562172,52.621876,4.4288077,49.11971,-15.853487,96.58051,-0.4474643,52.734894,-12.69078,57.312973,4.1536007,43.822685,-5.6079016,80.44752,2.26594,177.00905,-10.568603,72.32501,13.052524,67.9786,Rock-TRFOKCP128F9310371-4,Rock,TRFOKCP128F9310371,Rock
3.0,0.37922415,0.07704719,0.110312976,0.000119706776,2261.991661371676,24449.43427402655,1763.2283667193524,16488.739254951226,3670.1688326322114,60536.18728779477,0.15601337139423077,0.0003021982435644026,-0.0004643523,0.005160459,-0.00164937,0.0023346113,135.99917763157896,-69.713234,111.25263,92.99901,117.24856,-74.05521,78.583275,27.198988,54.56861,3.1404743,33.489952,6.1586223,30.161568,8.737965,29.705683,13.294486,25.683159,0.5711598,23.704796,-1.0242906,31.952694,3.00236,21.898884,8.392233,32.912403,4.626095,33.669964,-0.3560433,34.932068,-3.5527542,35.355003,1.2848876,28.859402,0.39379573,30.127092,6.863631,33.827583,-1.5262524,30.551727,0.5787039,19.734987,Rock-TRDASCX128F422F079-4,Rock,TRDASCX128F422F079,Rock
3.0,0.37988272,0.08748535,0.28580517,0.0022804062,2470.5642254728923,53239.756387203844,2330.5188229217842,56913.93935757212,4932.014535757212,516586.4372164892,0.11798377403846154,0.001067448170227412,3.4425433e-05,0.053892285,0.00022055134,0.011193791,184.5703125,14.924397,857.3834,81.62964,131.3159,-26.590591,197.42155,29.167953,59.14495,0.03659263,76.81714,6.976888,87.79944,-10.831153,69.02907,2.5930576,56.644505,-7.65551,71.144844,2.790192,75.19569,-7.4897156,24.969013,6.161619,35.59472,-0.5223756,36.48297,3.4086337,22.654444,-0.87410456,28.473072,1.8282083,62.058517,-4.172167,94.280876,6.583468,36.056446,2.448845,31.201565,3.2625873,49.7207,Rock-TRTAUEE128F4298661-3,Rock,TRTAUEE128F4298661,Rock
3.0,0.4823243,0.067310706,0.1606728,0.0013065287,2989.2629916533633,154245.85675111745,2393.4462445136746,27602.842976764317,5502.975698617788,262352.4010147921,0.22208909254807693,0.004027171515854153,-3.3129494e-05,0.011546171,-0.0001828994,0.0070288503,135.99917763157896,-28.71784,987.5362,58.623943,227.63188,-13.477838,166.08029,55.764732,140.84018,-8.269366,81.23028,17.969942,36.216694,-1.6517923,43.203083,8.766452,38.540195,-3.0270867,44.321392,4.6400805,59.711063,3.89649,41.046944,5.485992,47.258423,-4.019802,38.81077,2.5448382,32.358704,-2.8217928,26.568947,0.32942668,16.219696,-12.6766205,33.076096,-2.3664758,38.07319,-3.2183402,23.579618,0.9251238,28.374073,Rock-TRAPECP128E078F91C-4,Rock,TRAPECP128E078F91C,Rock
3.0,0.5392379,0.05572255,0.33899742,0.0016975781,3269.3077837292726,112590.86856026779,2824.246097174815,14878.883721718596,6688.378530649038,213652.4802903452,0.17255108173076922,0.0016765425191123105,-0.00011590973,0.049035173,-0.0006333375,0.02477881,107.666015625,71.31941,471.6063,55.644512,135.02176,-5.6431537,99.51838,24.652782,52.79381,-1.6255057,40.754612,5.808577,45.976105,0.25256658,35.173866,13.179932,47.063282,6.304905,31.289246,7.1269655,26.613308,-2.8643239,17.45332,3.3775656,17.233128,-3.8570478,20.479216,-1.5877906,17.22695,-5.984091,19.434328,0.89873606,16.399109,-5.0394454,15.264768,-1.0097682,19.33286,-5.621242,13.630986,0.8497889,19.472515,Rock-TRZSPHL128F4259A32-5,Rock,TRZSPHL128F4259A32,Rock
