length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.2504493,0.08706186,0.2692486,0.0009168107,1929.5548821098541,452480.09102049243,2490.204556656192,232016.700874749,4563.548302283654,4216338.227049698,0.07420748197115384,0.0015011547726286939,-8.313086e-05,0.044225775,-4.0538152e-06,0.009910315,103.359375,-60.28307,1709.9026,116.84998,625.80554,23.057917,115.66518,11.134132,146.67638,-0.9274693,120.05123,14.423636,66.64477,5.843088,64.86424,-5.3368025,84.53544,-18.067429,76.84225,8.740399,133.65869,-4.093283,70.82399,-1.5062592,50.926083,-8.746822,88.11922,6.0412455,66.50591,-18.448107,57.746853,8.522884,68.33299,-11.388862,111.29195,2.5115812,73.01179,2.6282911,104.82246,1.8064028,99.53671,World-TRZFSGD128E0792BBA-4,World,TRZFSGD128E0792BBA,World
3.0,0.32974207,0.08256365,0.1760851,0.002950551,2229.4185353461303,407456.0891778118,2515.1546217696077,152934.03627596158,4784.015174278846,2252443.9908133456,0.09077899639423077,0.0014109135943757008,0.00010760333,0.020928511,9.701948e-05,0.0055007357,161.4990234375,-68.15813,2937.817,95.1888,537.56506,1.0339736,447.9511,23.114996,125.20188,6.3367734,74.73721,0.69690764,146.25787,0.5331822,65.622055,3.6466105,66.4665,-1.8353311,69.23101,3.0863209,44.67952,-2.904712,49.705395,2.021526,64.66566,-1.7504032,53.510357,3.6770406,39.597836,-0.23195355,45.983368,0.5817021,60.2674,-0.8429358,56.11726,0.6459153,41.633266,-8.62266,84.94452,-5.552894,27.986435,World-TRTFBZU128F1452770-2,World,TRTFBZU128F1452770,World
3.0,0.4010122,0.07808344,0.08195864,0.0007004774,2884.901489977101,273312.32301431184,2748.090271624338,61595.0919415582,6269.3092698317305,548661.2629931354,0.14344200721153846,0.0019859847232434878,-1.05569225e-05,0.0027914485,-0.000101234844,0.00232074,99.38401442307692,-112.07321,1939.4569,71.702415,383.57153,-1.1948066,336.37427,22.525871,206.5274,6.0935144,150.68102,15.631666,133.90825,-6.1784654,158.21921,5.9014096,86.822464,-4.67568,67.54436,9.11582,75.174866,-1.1773385,39.462353,-1.2775923,46.74258,0.24239855,45.93326,-6.3778906,53.47309,-0.1682629,56.213623,-0.62501675,59.714207,-14.384857,83.13553,9.252478,28.19378,-11.861601,61.203945,2.752101,42.411358,World-TRJYMBD128F427EDDB-4,World,TRJYMBD128F427EDDB,World
3.0,0.36328366,0.07745024,0.16453095,0.0009867213,1643.959339584576,18208.81483025336,1630.7535600644255,59776.95065950127,2883.1302584134614,69740.83638177115,0.09418569711538462,0.00016681688071708005,1.21253815e-05,0.01826968,1.50173755e-05,0.003243175,161.4990234375,-70.148224,1008.8994,140.46664,207.9219,-53.002846,329.17218,16.743942,93.922844,-3.5006497,88.739365,-14.0627365,83.06571,-9.246621,79.13048,2.199647,56.33979,-4.4143114,47.5774,8.453558,36.45476,-3.076622,43.050938,2.0214448,32.361725,1.2308749,23.507975,0.78411883,24.571962,1.0699325,15.970283,2.9717972,19.907524,-6.0639124,18.971998,2.7405226,25.734175,-0.25249258,19.149597,-3.794374,28.1434,World-TROJPWV128F9337986-7,World,TROJPWV128F9337986,World
3.0,0.26869926,0.09435235,0.17905107,0.0063384897,2329.2945705234815,921673.9387636324,2459.876325400256,180426.3237593903,4632.9514723557695,3154713.5939217177,0.09857647235576923,0.007274556653739434,-2.9008495e-05,0.03261736,-0.00019272706,0.002729767,123.046875,-144.42662,9780.609,74.37167,1424.6361,-13.316236,547.3465,18.402296,539.3181,13.295181,220.24426,-4.541498,538.0762,14.036742,145.994,0.009492375,269.40936,-4.660034,128.18808,8.442149,150.5814,-13.346437,87.1853,-4.7788076,62.193245,-9.998992,64.78489,-9.464751,80.68475,-3.5606577,67.64459,3.4155428,59.925053,4.734809,218.07567,24.388779,261.40723,9.578326,222.13463,9.126583,97.15855,World-TRWMDUE128F14548DC-8,World,TRWMDUE128F14548DC,World
3.0,0.48534358,0.077809006,0.18667738,0.0048268363,2964.0789371974797,212801.9788827902,2743.0780723267117,90736.68517141184,6291.505033052885,1009902.9599507181,0.1407189002403846,0.0020882389954561312,-4.606629e-05,0.014639777,0.00014017697,0.014130279,143.5546875,-31.144651,3482.3313,61.03427,483.88858,-7.9149957,687.61145,25.888197,284.2527,2.3834178,172.3325,-7.6880493,267.66443,-7.5942636,145.39171,3.6205163,77.2284,-7.214584,142.4675,4.1740484,135.01472,-5.7033844,139.32825,1.3890909,67.764,-3.2015414,64.45882,0.7325308,53.863525,-3.3385174,39.114212,4.5736346,46.694607,1.8379574,46.875366,3.8811724,50.416435,2.015603,41.392704,3.2150564,33.655407,World-TRDIMBO128F1483658-2,World,TRDIMBO128F1483658,World
3.0,0.38219643,0.09664995,0.2526052,0.003327537,1012.358739174507,286162.6225751306,1665.6861387320096,553126.7520574547,1995.7138296274038,1818551.971637321,0.017623197115384615,0.00013110251116329398,-0.00022146145,0.064770825,-0.00044567703,0.0010263454,135.99917763157896,-180.95074,4187.5884,164.98859,1474.8896,5.401124,130.39156,8.839221,158.28188,18.290213,51.474487,4.6252,76.40116,4.3826876,52.329544,2.8202298,106.13132,0.22179401,86.9041,6.1518564,72.05744,-2.2509403,47.27508,10.2835655,36.66507,-2.2745473,199.77184,4.6236715,25.506538,-2.6385963,42.209736,2.8437567,26.54298,-3.77229,38.18603,-2.9917235,34.419083,-5.785913,23.560541,1.0848366,45.535027,World-TRLCONI128F4255EAC-9,World,TRLCONI128F4255EAC,World
3.0,0.36135927,0.080680765,0.04923717,6.366082e-05,1169.8018765815525,10850.112160118226,1112.8053046744308,33549.79670459789,1921.5899188701924,46931.81591965038,0.0824932391826923,0.00013061784428252272,3.185211e-06,0.0022302417,-1.9135896e-05,4.398352e-05,129.19921875,-259.68457,131.76723,195.91428,386.9697,-63.582676,254.61899,20.918985,48.459915,6.2177253,29.27148,-3.3756104,29.745955,0.5339083,71.744125,-14.27844,34.85255,-10.135266,22.73284,6.35632,33.716595,-2.3355002,25.50871,-2.0446715,14.454,-19.24652,27.081638,-3.8215535,37.03798,-6.6850047,36.372913,-2.8682537,53.28777,-14.680509,19.060257,-7.094271,23.595339,-7.9931126,40.897896,0.11567207,26.424932,World-TRJYJBL128F9316351-9,World,TRJYJBL128F9316351,World
3.0,0.23635708,0.08510229,0.053360198,0.00028731328,1616.853766630787,216908.75023209013,1995.1613519210835,173285.52409065628,3345.7628455528848,1766873.2847806267,0.05294095552884615,0.00038454299847755203,-2.5311992e-05,0.0024993797,-9.949941e-05,0.00023385078,161.4990234375,-267.59995,2667.473,105.707214,682.7304,-15.066032,281.34494,27.296162,219.07951,6.6111283,50.53472,8.051446,56.765663,-5.827234,60.185608,-5.693812,111.11712,-21.91723,42.441486,-13.326051,89.04713,-22.543499,59.67678,-6.911722,72.27004,-4.2505865,96.00733,-9.304376,36.169773,-24.40801,76.90388,-21.479202,72.98156,-24.213442,72.25329,-8.564537,47.39982,-8.047724,31.508362,9.285189,70.77861,World-TRBRLWR12903CE2E34-4,World,TRBRLWR12903CE2E34,World
3.0,0.3558542,0.08456442,0.1338765,0.0006278258,2030.374846851293,251050.28218489198,2575.9656370962207,124854.91870405387,4504.249173677885,2107780.3092173575,0.07098106971153846,0.0005931969366130038,-3.7824973e-06,0.012868236,5.1870124e-05,0.001798125,117.45383522727273,-120.57882,1224.7322,95.96118,432.30927,12.897595,191.74762,33.77264,232.04149,20.774208,86.930336,5.6813664,99.8122,17.510612,109.32261,7.3553553,46.74783,0.32972464,68.00793,8.663764,71.01268,-6.570288,57.196182,4.3960395,27.13191,-7.990336,47.246277,1.6663014,67.63292,-2.5007503,31.055077,-4.574293,33.667015,-4.7724676,74.53809,0.46691683,67.782875,-3.3407214,65.71717,1.8777707,42.119934,World-TRGMNEE128F146AAD9-4,World,TRGMNEE128F146AAD9,World
3.0,0.5540091,0.055334445,0.25674766,0.0021236239,3205.925533358948,131890.44277383227,2635.875727742359,27009.509618009313,6111.0402268629805,575014.7171909639,0.2066105769230769,0.0013637166897926105,6.434406e-05,0.026876753,-7.435162e-05,0.018748952,112.34714673913044,37.35556,374.24893,49.205605,117.654976,-18.819363,59.72665,36.296867,76.181175,9.503474,42.6567,9.563533,39.788403,2.974403,41.80798,7.247672,34.73025,2.889067,26.32361,3.845311,29.509815,5.365777,21.377584,2.5811632,32.054535,-6.1701097,24.802095,9.292674,22.077187,1.5076381,29.940054,-3.9156106,16.76848,3.2661517,17.939554,2.9826152,13.915163,-2.156882,18.452616,0.9286274,19.316954,World-TRZCMQL128F1455265-8,World,TRZCMQL128F1455265,World
3.0,0.40564755,0.090795934,0.20778093,0.012913945,3194.4169099259457,1524698.876610016,3073.6152738956225,180107.29748575177,6932.283466045673,3278151.2175650643,0.12508263221153845,0.005338669331116083,-2.1063825e-05,0.008633069,-0.00011372688,0.039435793,123.046875,-74.669876,3780.2058,64.51815,954.2575,35.150265,1184.264,23.933292,254.7116,15.439696,265.08478,5.1775494,219.89981,-7.0033765,167.66232,-1.8864286,177.20297,-13.085693,110.76234,-7.101555,191.12407,-10.8125,117.73244,-0.49568516,87.99719,-10.2934,60.434803,-6.9251194,104.5672,-8.674271,93.264755,2.283488,49.280266,-10.645207,111.94575,-0.87097424,44.677307,-5.0761523,46.539913,-2.527636,47.617813,World-TRJMHKF128F14692F4-10,World,TRJMHKF128F14692F4,World
3.0,0.4184959,0.067151204,0.21361208,0.0036255864,1873.7022037415495,170597.1567950644,2234.953090034576,118259.16171662636,4059.1744290865386,1341545.9007206752,0.07384314903846154,0.0004609054362280128,-0.00010528464,0.029942926,0.00026298908,0.0067348857,103.359375,-36.191082,971.17773,116.35906,412.26706,-10.961436,105.70714,18.671688,65.73135,3.4800422,89.0213,14.177331,56.46162,-5.0474553,50.384438,8.062945,52.76344,1.94289,39.83369,7.127884,21.311312,1.2465874,23.125639,6.758066,22.85234,2.5214257,31.073168,5.158227,18.761013,-0.037394598,31.465914,6.5488486,29.911346,-0.5920036,25.768866,1.1656104,31.498474,2.3273563,21.522058,6.3981924,41.907375,World-TRYNDRC128F9316E5C-8,World,TRYNDRC128F9316E5C,World
