Genres,Number of Estimators,Learning Rate,Accuracy
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.1,0.7350085665334095
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.05,0.721302113078241
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.01,0.6133637921187892
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.1,0.7481439177612793
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.05,0.7458595088520845
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.01,0.6641918903483723
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.1,0.7470017133066819
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.05,0.7492861222158766
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.01,0.6910336950314107
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.1,0.7475728155339806
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.05,0.7447173043974872
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.01,0.7401484865790977
