Genres,Number of Estimators,Learning Rate,Accuracy
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.1,0.723465016658734
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.05,0.6987148976677773
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",500,0.01,0.5992384578772013
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.1,0.7277486910994765
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.05,0.7253688719657306
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1000,0.01,0.6530223702998572
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.1,0.7277486910994765
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.05,0.737743931461209
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",1500,0.01,0.672536887196573
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.1,0.723465016658734
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.05,0.732032365540219
"Blues, Country, Jazz, Metal, Pop, Reggae, Rock",5000,0.01,0.7172774869109948
