track_id,tags,genre,energy,key,loudness,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo_y,mfcc1_mean,mfcc1_variance,mfcc2_mean,mfcc2_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc5_variance,mfcc6_mean,mfcc6_variance,mfcc7_mean,mfcc7_variance,mfcc8_mean,mfcc8_variance,mfcc9_mean,mfcc9_variance,mfcc10_mean,mfcc10_variance,mfcc11_mean,mfcc11_variance,mfcc12_mean,mfcc12_variance,mfcc13_mean,mfcc13_variance,mfcc14_mean,mfcc14_variance,mfcc15_mean,mfcc15_variance,mfcc16_mean,mfcc16_variance,mfcc17_mean,mfcc17_variance,mfcc18_mean,mfcc18_variance,mfcc19_mean,mfcc19_variance,mfcc20_mean,mfcc20_variance
TRPSVTL128F936017F,"rock, classic_rock, 80s, 70s, guitar",Rock,0.815,5,-9.302,0.921,148.152,4,0.38497853,0.08643835,0.14055909,0.001934329,2202.110841545748,329564.2754816125,4.3228915e-06,0.0115010105,6.938115e-05,0.0043296935,99.38401442307692,-103.93674,2559.1748,94.06703,478.49072,11.767704,338.29117,38.421192,116.375496,8.604371,79.7345,1.6478579,66.380165,8.483349,50.156746,4.3813515,40.952198,1.690188,48.206028,4.8542647,48.640472,-4.265387,45.496258,4.775645,58.018707,1.9751137,71.692635,2.9420235,72.25309,-5.393754,52.66085,0.20984024,64.70659,-3.9910893,68.38874,3.2211778,48.108597,-5.418637,49.01323,-5.7600913,51.93288
TRHHSUX128F932E546,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s",Electronic,0.979,2,-4.988,0.712,83.369,4,0.376844,0.075854324,0.3313062,0.0012211414,2239.272252925864,247463.80575135144,1.00890375e-07,0.07022027,0.00062725315,0.01378165,83.35433467741936,26.856594,672.2982,99.60524,349.9466,-12.870329,148.69739,15.359486,57.938274,9.453373,37.559994,11.591379,39.400734,-4.0804853,37.622673,6.6933193,31.512777,-0.58650947,45.384205,11.350904,31.830936,-2.4290144,27.31714,3.6671848,27.628794,-5.6667995,31.624958,2.9748032,38.247295,-3.2699652,39.647224,3.283598,39.19545,3.2547936,50.58352,4.3679605,49.556007,-1.5008857,46.02802,5.0456653,88.54014
TRFOBPI128F42734B9,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,0.584,7,-9.579,0.244,139.261,4,0.39793107,0.07883511,0.16345477,0.0007378969,3058.456715896038,280460.987476744,3.33485e-06,0.016277842,-1.667234e-05,0.003983423,143.5546875,-27.900066,650.17084,55.263256,406.40384,-14.217238,220.94565,44.711506,121.84703,-0.8735043,54.315796,13.279589,53.014202,5.922801,66.93732,8.55181,67.4134,7.0804696,71.646385,7.7186065,53.502903,-1.0119455,49.242805,8.130267,84.309586,-1.3509127,60.471584,1.5531532,44.397923,1.5206974,52.929916,6.655034,41.04484,0.9232932,32.253723,3.5777621,41.30765,0.937319,59.41993,-0.032553423,63.32584
TRQUFVD128F4236831,"rock, classic_rock, singer_songwriter, 70s",Jazz,0.272,0,-19.497,0.382,104.792,4,0.36392945,0.094543815,0.11595872,0.0033690021,1927.883327812611,768707.6626072475,3.2751886e-06,0.009141966,-8.096089e-05,0.0034699088,107.666015625,-182.65968,3792.8027,92.85592,1088.9519,28.639929,305.41577,48.332424,304.1025,10.09848,183.1328,16.219555,148.45755,-0.28139833,126.08224,4.752867,100.6687,-2.7400775,64.37624,4.2491446,62.594505,-2.2183003,89.31783,4.8248014,68.66236,-5.291617,79.71399,-1.8856165,55.22994,-3.709122,42.75967,0.600865,38.76961,-7.3151774,40.627754,1.3815023,51.901787,-4.519748,38.893867,-2.6596594,46.55308
TRFNFGI128F930A920,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge",Country,0.826,8,-7.611,0.415,82.539,4,0.45943296,0.0714142,0.21938986,0.0010187863,2795.020015587146,119605.8078879944,-4.172565e-06,0.0263404,-6.98273e-05,0.007933383,161.4990234375,-20.307203,608.6894,55.304447,184.21214,-12.61602,142.2715,72.130005,122.434044,17.43823,40.216,13.457527,38.094776,-1.486072,26.40808,16.302994,27.117096,-7.7057643,30.767796,5.430371,25.343098,2.3959823,23.55851,5.6412783,30.391048,-7.824485,28.276358,-1.77623,25.349428,1.5290545,28.484947,3.3330083,29.872255,-1.4743923,29.696537,0.35469216,27.634632,3.6754637,33.901974,5.514037,33.899235
TRRLZAX12903CC4850,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Electronic,0.31,2,-13.922,0.122,72.786,4,0.36534053,0.07534814,0.14191566,0.0023475352,1711.6936775240931,162218.56127537476,1.0526921e-05,0.014370101,0.0002963746,0.0025114168,151.99908088235293,-95.82266,4869.266,125.84259,417.68585,-9.530155,399.93362,19.920351,224.25488,11.83043,116.259674,7.4221745,60.542564,-2.1289837,63.72335,1.1639029,56.200615,-3.1902752,56.492424,0.7159758,42.13948,-2.3179817,43.172546,-1.5711563,47.466766,-7.792615,32.95424,-1.7144855,55.61627,-3.470383,34.716938,2.1952343,34.099297,-7.970061,36.478592,1.397613,32.64923,0.5930873,39.233994,4.028118,35.08239
TROJJKH128F425C8D8,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rap,0.29,0,-15.021,0.183,112.434,4,0.40551496,0.08499173,0.1247117,0.0029058265,2124.547987566434,343703.22927665914,4.3066116e-06,0.009850918,3.0776e-05,0.0039549293,112.34714673913044,-117.23873,4015.4248,96.37455,713.4826,3.3668392,371.9793,43.26981,129.20941,1.1457367,90.50333,9.227862,95.56152,5.470535,57.124504,1.2912126,66.04248,-1.4238744,49.87686,5.235494,55.583313,-1.4405648,48.506004,3.389876,59.459595,-2.247454,49.36983,-1.3203921,81.96143,-10.643829,41.43772,-1.6595579,46.696514,-4.7447,37.113144,0.8139608,60.00805,-1.8141632,37.454735,3.3583307,64.59617
TROLARL128F428EE18,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",Reggae,0.295,4,-8.571,0.0398,114.759,5,0.35649642,0.080439165,0.26082388,0.0007772133,1897.2884618075543,171628.68424295384,-8.930976e-06,0.050966613,-0.00013929667,0.0046817255,117.45383522727272,-20.056484,658.0892,112.32676,310.02243,-9.842123,235.30927,34.329605,82.403564,-0.83233225,47.90089,-0.6731075,46.13973,3.2621818,44.615154,12.498479,49.366158,-0.011311581,36.404335,1.189466,93.13331,0.41069537,69.85564,1.9895495,42.611202,-3.182932,29.711569,0.5934582,52.952477,-3.5629096,38.04076,-1.0193362,38.29751,-5.8598714,50.644016,0.7948221,77.804634,-3.306059,45.856686,2.6132672,42.97299
TRUWCUD12903CD4501,"rock, alternative, alternative_rock, hard_rock, grunge",Blues,0.854,9,-3.868,0.368,89.4,4,0.4548571,0.07392304,0.34848553,0.0012251729,2969.591506276429,191960.5634125521,7.0415363e-06,0.062889196,0.00033974674,0.019494807,89.10290948275862,47.549793,501.3839,63.002148,155.48991,2.4654062,103.42328,33.564476,72.54557,9.223503,48.02388,12.362184,35.0102,2.5102074,34.77543,10.442988,37.735264,8.202343,57.650105,11.126157,37.343246,-2.62998,36.09541,5.461825,28.112707,-6.1445065,46.675182,4.825305,38.464787,-0.15631402,31.129946,4.6576304,31.476511,-2.2486877,44.24678,2.988769,63.72791,-0.27480942,35.859505,2.4065459,42.330563
TRXFYTA128F429364C,"rock, classic_rock, british, 70s, blues_rock",Pop,0.309,7,-9.75,0.178,140.749,4,0.32680988,0.08082666,0.17442234,0.0033349018,2263.0459394462696,254088.7943078277,-5.1740363e-07,0.021550896,-2.6977814e-05,0.0044690403,143.5546875,-66.981255,2154.377,87.78224,386.00986,-2.200334,231.41794,29.575966,203.97961,4.1659856,88.42151,11.927215,113.492,-0.019851921,61.390636,3.9985049,65.328125,-13.188788,59.14493,1.2777865,66.144516,-12.453063,51.244617,1.1156491,42.202477,-6.475195,51.899853,-2.8440595,46.0938,-11.737099,64.46142,-5.944115,57.427124,-9.832666,58.140648,1.1103828,61.188747,-5.7647004,51.049263,-2.384817,42.68594
